sample	Range	ng_uL	percentage_total	nmole_L	size	plate	type	concentration
Plate 1_H4	35 bp to 100 bp	0.0232	0.2	0.6449	59	1	Positive	1
Plate 1_H4	100 bp to 200 bp	0.0838	0.7	0.8185	168	1	Positive	1
Plate 1_H4	200 bp to 1000 bp	11.5867	95.5	40.7299	468	1	Positive	1
Plate 1_A5	35 bp to 100 bp	0.018	0.7	0.4188	70	1	Positive	0.1
Plate 1_A5	100 bp to 200 bp	0.0131	0.5	0.1539	140	1	Positive	0.1
Plate 1_A5	200 bp to 1000 bp	2.5075	96.3	8.585	481	1	Positive	0.1
Plate 1_B5	35 bp to 100 bp	0.0154	15.9	0.403	63	1	Negative	0.1
Plate 1_B5	100 bp to 200 bp	0.006	6.2	0.0737	134	1	Negative	0.1
Plate 1_B5	200 bp to 1000 bp	0.0535	55.2	0.2245	392	1	Negative	0.1
Plate 1_C5	35 bp to 100 bp	0.03	1.1	0.6758	73	1	Positive	0.1
Plate 1_C5	100 bp to 200 bp	0.0412	1.6	0.5289	128	1	Positive	0.1
Plate 1_C5	200 bp to 1000 bp	2.506	94.9	8.5205	484	1	Positive	0.1
Plate 1_D5	35 bp to 100 bp	0.025	1.6	0.5801	71	1	Positive	0.1
Plate 1_D5	100 bp to 200 bp	0.0327	2	0.3725	144	1	Positive	0.1
Plate 1_D5	200 bp to 1000 bp	1.5045	94	5.3553	462	1	Positive	0.1
Plate 1_E5	35 bp to 100 bp	0.0159	0.3	0.4038	65	1	Positive	0.1
Plate 1_E5	100 bp to 200 bp	0.0278	0.6	0.3115	146	1	Positive	0.1
Plate 1_E5	200 bp to 1000 bp	4.4379	97.2	15.2022	480	1	Positive	0.1
Plate 1_F5	35 bp to 100 bp	0.0101	0.5	0.3064	54	1	Positive	0.1
Plate 1_F5	100 bp to 200 bp	0.0116	0.5	0.1149	166	1	Positive	0.1
Plate 1_F5	200 bp to 1000 bp	2.1082	95.6	7.5387	460	1	Positive	0.1
Plate 1_G5	35 bp to 100 bp	0.0171	10.7	0.4777	59	1	Negative	0.1
