sample	Range	ng_uL	percentage_total	nmole_L	size	plate	type	concentration
Plate 1_F7	200 bp to 1000 bp	0.0987	70.6	0.4375	371	1	Negative	0.01
Plate 1_G7	35 bp to 100 bp	0.0144	7.6	0.3831	62	1	Positive	0.01
Plate 1_G7	100 bp to 200 bp	0.0083	4.4	0.0943	145	1	Positive	0.01
Plate 1_G7	200 bp to 1000 bp	0.1521	80.3	0.6291	398	1	Positive	0.01
Plate 1_H7	35 bp to 100 bp	0.0097	7.2	0.2526	63	1	Positive	0.01
Plate 1_H7	100 bp to 200 bp	0.0088	6.5	0.1082	134	1	Positive	0.01
Plate 1_H7	200 bp to 1000 bp	0.1054	78.1	0.4597	377	1	Positive	0.01
Plate 1_A8	35 bp to 100 bp	0.0092	0.6	0.2704	56	1	Positive	0.1
Plate 1_A8	100 bp to 200 bp	0.0064	0.4	0.0676	156	1	Positive	0.1
Plate 1_A8	200 bp to 1000 bp	1.4308	96.4	5.0797	463	1	Positive	0.1
Plate 1_B8	35 bp to 100 bp	0.0121	0.7	0.3357	59	1	Positive	0.1
Plate 1_B8	100 bp to 200 bp	0.0052	0.3	0.0612	141	1	Positive	0.1
Plate 1_B8	200 bp to 1000 bp	1.7342	96.8	5.9999	476	1	Positive	0.1
Plate 1_C8	35 bp to 100 bp	0.0132	0.6	0.3319	65	1	Positive	0.1
Plate 1_C8	100 bp to 200 bp	0.0286	1.4	0.3212	146	1	Positive	0.1
Plate 1_C8	200 bp to 1000 bp	1.9864	95.9	7.2099	453	1	Positive	0.1
Plate 1_D8	35 bp to 100 bp	0.0238	12.9	0.5928	66	1	Negative	0.1
Plate 1_D8	100 bp to 200 bp	0.0233	12.6	0.3049	126	1	Negative	0.1
Plate 1_D8	200 bp to 1000 bp	0.1238	66.8	0.6024	338	1	Negative	0.1
Plate 1_E8	35 bp to 100 bp	0.0133	0.8	0.3628	60	1	Positive	0.1
Plate 1_E8	100 bp to 200 bp	0.013	0.7	0.1363	157	1	Positive	0.1
Plate 1_E8	200 bp to 1000 bp	1.6928	96.6	6.2485	446	1	Positive	0.1
Plate 1_F8	35 bp to 100 bp	0.0739	4	1.67	73	1	Positive	0.1
Plate 1_F8	100 bp to 200 bp	0.0231	1.3	0.2522	151	1	Positive	0.1
Plate 1_F8	200 bp to 1000 bp	1.7079	92.7	6.3964	439	1	Positive	0.1
Plate 1_G8	35 bp to 100 bp	0.0181	0.8	0.5086	58	1	Positive	0.1
Plate 1_G8	100 bp to 200 bp	0.0139	0.6	0.1484	154	1	Positive	0.1
Plate 1_G8	200 bp to 1000 bp	2.1971	96.5	7.5591	478	1	Positive	0.1
Plate 1_H8	35 bp to 100 bp	0.0196	7.8	0.4895	66	1	Negative	0.1
Plate 1_H8	100 bp to 200 bp	0.0237	9.4	0.2861	136	1	Negative	0.1
Plate 1_H8	200 bp to 1000 bp	0.1929	76.4	0.8505	373	1	Negative	0.1
Plate 1_A9	35 bp to 100 bp	0.01	0.1	0.297	55	1	Positive	1
Plate 1_A9	100 bp to 200 bp	0.0692	0.4	0.7065	161	1	Positive	1
Plate 1_A9	200 bp to 1000 bp	16.5933	98.7	68.5617	398	1	Positive	1
Plate 1_B9	35 bp to 100 bp	0.0191	23.8	0.4528	69	1	Negative	1
Plate 1_B9	100 bp to 200 bp	0.01	12.4	0.1193	137	1	Negative	1
Plate 1_B9	200 bp to 1000 bp	0.0349	43.5	0.1783	322	1	Negative	1
Plate 1_C9	35 bp to 100 bp	0.0246	0.1	0.6271	64	1	Positive	1
Plate 1_C9	100 bp to 200 bp	0.0437	0.2	0.4576	157	1	Positive	1
Plate 1_C9	200 bp to 1000 bp	26.5709	98.5	99.0794	441	1	Positive	1
Plate 1_D9	35 bp to 100 bp	0.0265	0.1	0.696	62	1	Positive	1
Plate 1_D9	100 bp to 200 bp	0.0521	0.2	0.5281	162	1	Positive	1
Plate 1_D9	200 bp to 1000 bp	25.5706	98.7	103.4857	407	1	Positive	1
Plate 1_E9	35 bp to 100 bp	0.0256	0.1	0.6782	62	1	Positive	1
Plate 1_E9	100 bp to 200 bp	0.0508	0.2	0.5287	158	1	Positive	1
Plate 1_E9	200 bp to 1000 bp	22.0794	98.6	85.6557	424	1	Positive	1
Plate 1_F9	35 bp to 100 bp	0.0274	0.1	0.6996	64	1	Positive	1
Plate 1_F9	100 bp to 200 bp	0.0531	0.3	0.572	152	1	Positive	1
Plate 1_F9	200 bp to 1000 bp	20.7049	98.4	79.443	429	1	Positive	1
Plate 1_G9	35 bp to 100 bp	0.0936	1	1.83	84	1	Positive	1
Plate 1_G9	100 bp to 200 bp	0.3148	3.3	4.2063	123	1	Positive	1
Plate 1_G9	200 bp to 1000 bp	9.0373	94.7	34.3147	433	1	Positive	1
Plate 1_H9	35 bp to 100 bp	0.0169	0.1	0.4464	62	1	Positive	1
Plate 1_H9	100 bp to 200 bp	0.026	0.1	0.2675	160	1	Positive	1
Plate 1_H9	200 bp to 1000 bp	20.982	98.1	72.6591	475	1	Positive	1
Plate 1_A10	35 bp to 100 bp	0.0142	0.8	0.3712	63	1	Positive	0.1
Plate 1_A10	100 bp to 200 bp	0.019	1.1	0.2052	153	1	Positive	0.1
Plate 1_A10	200 bp to 1000 bp	1.6083	96.5	5.8418	453	1	Positive	0.1
Plate 1_B10	35 bp to 100 bp	0.0173	0.7	0.3862	73	1	Positive	0.1
Plate 1_B10	100 bp to 200 bp	0.0692	2.9	0.8411	135	1	Positive	0.1
Plate 1_B10	200 bp to 1000 bp	2.2522	94.8	8.758	423	1	Positive	0.1
Plate 1_C10	35 bp to 100 bp	0.0149	0.9	0.3544	69	1	Positive	0.1
Plate 1_C10	100 bp to 200 bp	0.0791	4.7	0.8941	145	1	Positive	0.1
Plate 1_C10	200 bp to 1000 bp	1.571	92.6	5.836	443	1	Positive	0.1
Plate 1_D10	35 bp to 100 bp	0.0096	10.7	0.2365	67	1	Negative	0.1
Plate 1_D10	100 bp to 200 bp	0.0145	16.2	0.191	124	1	Negative	0.1
Plate 1_D10	200 bp to 1000 bp	0.0562	62.8	0.2809	329	1	Negative	0.1
Plate 1_E10	35 bp to 100 bp	0.0169	0.7	0.4006	69	1	Positive	0.1
Plate 1_E10	100 bp to 200 bp	0.0174	0.7	0.1815	157	1	Positive	0.1
Plate 1_E10	200 bp to 1000 bp	2.3117	96.5	8.3823	454	1	Positive	0.1
Plate 1_F10	35 bp to 100 bp	0.0116	0.6	0.2931	65	1	Positive	0.1
Plate 1_F10	100 bp to 200 bp	0.0202	1	0.2039	163	1	Positive	0.1
Plate 1_F10	200 bp to 1000 bp	2.0002	96.5	7.4815	440	1	Positive	0.1
Plate 1_G10	35 bp to 100 bp	0.0081	13	0.2258	59	1	Negative	0.1
Plate 1_G10	100 bp to 200 bp	0.0037	5.9	0.0443	137	1	Negative	0.1
Plate 1_G10	200 bp to 1000 bp	0.0369	58.9	0.1837	331	1	Negative	0.1
Plate 1_H10	35 bp to 100 bp	0.013	0.6	0.3307	65	1	Positive	0.1
Plate 1_H10	100 bp to 200 bp	0.0317	1.6	0.3368	155	1	Positive	0.1
Plate 1_H10	200 bp to 1000 bp	1.9535	96.1	7.2334	444	1	Positive	0.1
Plate 2_A7	35 bp to 100 bp	0.0312	11.9	0.6921	74	2	Positive	0.01
Plate 2_A7	100 bp to 200 bp	0.0241	9.2	0.3168	125	2	Positive	0.01
Plate 2_A7	200 bp to 1000 bp	0.1926	73.4	0.8961	354	2	Positive	0.01
Plate 2_B7	35 bp to 100 bp	0.1131	38.1	2.2237	83	2	Positive	0.01
Plate 2_B7	100 bp to 200 bp	0.0904	30.4	1.351	110	2	Positive	0.01
Plate 2_B7	200 bp to 1000 bp	0.0838	28.2	0.3956	348	2	Positive	0.01
Plate 2_C7	35 bp to 100 bp	0.0514	25.3	1.0683	79	2	Negative	0.01
Plate 2_C7	100 bp to 200 bp	0.0669	33	0.8825	124	2	Negative	0.01
Plate 2_C7	200 bp to 1000 bp	0.0677	33.4	0.3274	340	2	Negative	0.01
Plate 2_D7	35 bp to 100 bp	0.0328	6.2	0.7436	72	2	Positive	0.01
Plate 2_D7	100 bp to 200 bp	0.0453	8.5	0.5622	133	2	Positive	0.01
Plate 2_D7	200 bp to 1000 bp	0.4357	82	1.7872	401	2	Positive	0.01
Plate 2_E7	35 bp to 100 bp	0.023	5.4	0.5514	68	2	Positive	0.01
Plate 2_E7	100 bp to 200 bp	0.0238	5.5	0.2871	136	2	Positive	0.01
Plate 2_E7	200 bp to 1000 bp	0.3622	84.5	1.6962	351	2	Positive	0.01
Plate 2_F7	35 bp to 100 bp	0.0421	25.2	0.92490000000000006	75	2	Negative	0.01
Plate 2_F7	100 bp to 200 bp	0.0162	9.8	0.1998	134	2	Negative	0.01
Plate 2_F7	200 bp to 1000 bp	0.0924	55.5	0.4282	355	2	Negative	0.01
Plate 2_G7	35 bp to 100 bp	0.0177	6.3	0.4371	66	2	Positive	0.01
Plate 2_G7	100 bp to 200 bp	0.0194	6.9	0.2207	145	2	Positive	0.01
Plate 2_G7	200 bp to 1000 bp	0.2314	82	1.1007	346	2	Positive	0.01
Plate 2_H7	35 bp to 100 bp	0.007	1.9	0.1979	58	2	Positive	0.01
Plate 2_H7	100 bp to 200 bp	0.0086	2.3	0.0834	169	2	Positive	0.01
Plate 2_H7	200 bp to 1000 bp	0.341	92.2	1.567	358	2	Positive	0.01
Plate 2_A8	35 bp to 100 bp	0.029	1.9	0.6394	74	2	Positive	0.1
Plate 2_A8	100 bp to 200 bp	0.035	2.3	0.4568	126	2	Positive	0.1
Plate 2_A8	200 bp to 1000 bp	1.4627	94.3	5.9362	405	2	Positive	0.1
Plate 2_B8	35 bp to 100 bp	0.0494	3.6	1.0408	78	2	Positive	0.1
Plate 2_B8	100 bp to 200 bp	0.0541	4	0.7311	122	2	Positive	0.1
Plate 2_B8	200 bp to 1000 bp	1.2422	90.8	5.2814	387	2	Positive	0.1
Plate 2_C8	35 bp to 100 bp	0.0302	1.8	0.6437	77	2	Positive	0.1
Plate 2_C8	100 bp to 200 bp	0.0637	3.8	0.8195	128	2	Positive	0.1
Plate 2_C8	200 bp to 1000 bp	1.5647	92.8	6.1505	419	2	Positive	0.1
Plate 2_D8	35 bp to 100 bp	0.017	8.6	0.4193	67	2	Negative	0.1
Plate 2_D8	100 bp to 200 bp	0.0196	9.9	0.2147	150	2	Negative	0.1
Plate 2_D8	200 bp to 1000 bp	0.1494	75.4	0.7199	341	2	Negative	0.1
Plate 2_E8	35 bp to 100 bp	0.0182	0.5	0.4304	69	2	Positive	0.1
Plate 2_E8	100 bp to 200 bp	0.0308	0.8	0.3165	160	2	Positive	0.1
Plate 2_E8	200 bp to 1000 bp	3.7876	97.8	15.4141	404	2	Positive	0.1
Plate 2_F8	35 bp to 100 bp	0.1034	2.4	2.22	76	2	Positive	0.1
Plate 2_F8	100 bp to 200 bp	0.1129	2.7	1.1191	166	2	Positive	0.1
Plate 2_F8	200 bp to 1000 bp	4.0194	94.4	18.6816	354	2	Positive	0.1
Plate 2_G8	35 bp to 100 bp	0.0126	0.4	0.3248	64	2	Positive	0.1
Plate 2_G8	100 bp to 200 bp	0.1724	4.9	1.518	187	2	Positive	0.1
Plate 2_G8	200 bp to 1000 bp	3.3417	94.6	18.807	292	2	Positive	0.1
Plate 2_H8	35 bp to 100 bp	0.0154	9	0.3693	68	2	Negative	0.1
Plate 2_H8	100 bp to 200 bp	0.0176	10.3	0.1966	147	2	Negative	0.1
Plate 2_H8	200 bp to 1000 bp	0.1279	74.5	0.6193	340	2	Negative	0.1
Plate 2_A9	35 bp to 100 bp	0.0437	0.3	0.9737	74	2	Positive	1
Plate 2_A9	100 bp to 200 bp	0.0893	0.6	0.9865	149	2	Positive	1
Plate 2_A9	200 bp to 1000 bp	13.7149	98.2	57.1929	395	2	Positive	1
Plate 2_B9	35 bp to 100 bp	0.0644	55.1	1.2812	83	2	Negative	1
Plate 2_B9	100 bp to 200 bp	0.0297	25.4	0.452	108	2	Negative	1
Plate 2_B9	200 bp to 1000 bp	0.0185	15.8	0.1006	302	2	Negative	1
Plate 2_C9	35 bp to 100 bp	0.037	0.2	0.8183	74	2	Positive	1
Plate 2_C9	100 bp to 200 bp	0.0811	0.5	0.8454	158	2	Positive	1
Plate 2_C9	200 bp to 1000 bp	16.9022	98.7	73.5681	378	2	Positive	1
Plate 2_D9	35 bp to 100 bp	0.0556	0.3	1.2142	75	2	Positive	1
Plate 2_D9	100 bp to 200 bp	0.0748	0.5	0.8282	148	2	Positive	1
Plate 2_D9	200 bp to 1000 bp	16.0143	98.1	61.0689	431	2	Positive	1
Plate 2_E9	35 bp to 100 bp	0.0661	0.5	1.4092	77	2	Positive	1
Plate 2_E9	100 bp to 200 bp	0.1322	0.9	1.5632	139	2	Positive	1
Plate 2_E9	200 bp to 1000 bp	14.1736	97.2	54.3789	429	2	Positive	1
Plate 2_F9	35 bp to 100 bp	0.0742	0.4	1.5978	76	2	Positive	1
Plate 2_F9	100 bp to 200 bp	0.1048	0.5	1.2157	142	2	Positive	1
Plate 2_F9	200 bp to 1000 bp	20.0994	98.5	79.9727	414	2	Positive	1
Plate 2_G9	35 bp to 100 bp	0.1121	1.7	2.2365	82	2	Positive	1
Plate 2_G9	100 bp to 200 bp	0.3281	4.9	4.16	130	2	Positive	1
Plate 2_G9	200 bp to 1000 bp	6.2413	92.5	23.6579	434	2	Positive	1
Plate 2_H9	35 bp to 100 bp	0.0595	0.3	1.3068	75	2	Positive	1
Plate 2_H9	100 bp to 200 bp	0.1131	0.6	1.3216	141	2	Positive	1
Plate 2_H9	200 bp to 1000 bp	19.0472	98.4	76.6483	409	2	Positive	1
Plate 2_A10	35 bp to 100 bp	0.0265	1.2	0.5966	73	2	Positive	0.1
Plate 2_A10	100 bp to 200 bp	0.0359	1.7	0.3757	157	2	Positive	0.1
Plate 2_A10	200 bp to 1000 bp	2.0768	95.9	8.545	400	2	Positive	0.1
Plate 2_B10	35 bp to 100 bp	0.0219	0.9	0.4622	78	2	Positive	0.1
Plate 2_B10	100 bp to 200 bp	0.051	2	0.6375	131	2	Positive	0.1
Plate 2_B10	200 bp to 1000 bp	2.3854	95.3	9.3042	422	2	Positive	0.1
Plate 2_C10	35 bp to 100 bp	0.0314	1.2	0.6852	75	2	Positive	0.1
Plate 2_C10	100 bp to 200 bp	0.0625	2.3	0.7386	139	2	Positive	0.1
Plate 2_C10	200 bp to 1000 bp	2.5801	95.2	10.9099	389	2	Positive	0.1
Plate 2_D10	35 bp to 100 bp	0.0439	21.6	0.8659	83	2	Negative	0.1
Plate 2_D10	100 bp to 200 bp	0.032	15.8	0.4168	126	2	Negative	0.1
Plate 2_D10	200 bp to 1000 bp	0.1216	59.8	0.5829	343	2	Negative	0.1
Plate 2_E10	35 bp to 100 bp	0.0461	1.8	0.9511	79	2	Positive	0.1
Plate 2_E10	100 bp to 200 bp	0.0249	1	0.2914	140	2	Positive	0.1
Plate 2_E10	200 bp to 1000 bp	2.4219	95.3	9.6097	415	2	Positive	0.1
Plate 2_F10	35 bp to 100 bp	0.0408	1	0.9739	69	2	Positive	0.1
Plate 2_F10	100 bp to 200 bp	0.048	1.1	0.5487	144	2	Positive	0.1
Plate 2_F10	200 bp to 1000 bp	4.0518	96.9	14.9734	445	2	Positive	0.1
Plate 2_G10	35 bp to 100 bp	0.0153	17.7	0.3959	63	2	Negative	0.1
Plate 2_G10	100 bp to 200 bp	0.0077	8.9	0.0893	141	2	Negative	0.1
Plate 2_G10	200 bp to 1000 bp	0.0449	51.9	0.2167	341	2	Negative	0.1
Plate 2_H10	35 bp to 100 bp	0.0143	0.4	0.3742	62	2	Positive	0.1
Plate 2_H10	100 bp to 200 bp	0.1332	4	1.1885	184	2	Positive	0.1
Plate 2_H10	200 bp to 1000 bp	3.1834	95.2	16.6928	314	2	Positive	0.1
Plate 3_A7	35 bp to 100 bp	0.0134	4	0.3269	67	3	Positive	0.01
Plate 3_A7	100 bp to 200 bp	0.0458	13.7	0.5712	132	3	Positive	0.01
Plate 3_A7	200 bp to 1000 bp	0.2624	78.7	1.2178	354	3	Positive	0.01
Plate 3_B7	35 bp to 100 bp	0.033	10.1	0.7985	68	3	Positive	0.01
Plate 3_B7	100 bp to 200 bp	0.0319	9.7	0.3848	136	3	Positive	0.01
Plate 3_B7	200 bp to 1000 bp	0.2467	75.1	1.1116	365	3	Positive	0.01
Plate 3_C7	35 bp to 100 bp	0.0229	11.7	0.5802	65	3	Negative	0.01
Plate 3_C7	100 bp to 200 bp	0.0359	18.3	0.4385	135	3	Negative	0.01
Plate 3_C7	200 bp to 1000 bp	0.1202	61.1	0.5724	345	3	Negative	0.01
Plate 3_D7	35 bp to 100 bp	0.0146	3.8	0.3755	64	3	Positive	0.01
Plate 3_D7	100 bp to 200 bp	0.0178	4.6	0.2043	143	3	Positive	0.01
Plate 3_D7	200 bp to 1000 bp	0.3345	86.6	1.4662	375	3	Positive	0.01
Plate 3_E7	35 bp to 100 bp	0.0273	7.3	0.7346	61	3	Positive	0.01
Plate 3_E7	100 bp to 200 bp	0.0149	4	0.1759	139	3	Positive	0.01
Plate 3_E7	200 bp to 1000 bp	0.3023	81.1	1.4618	340	3	Positive	0.01
Plate 3_F7	35 bp to 100 bp	0.0138	9	0.3661	62	3	Negative	0.01
Plate 3_F7	100 bp to 200 bp	0.0178	11.7	0.2094	140	3	Negative	0.01
Plate 3_F7	200 bp to 1000 bp	0.1061	69.7	0.4666	374	3	Negative	0.01
Plate 3_G7	35 bp to 100 bp	0.0187	6.8	0.4712	65	3	Positive	0.01
Plate 3_G7	100 bp to 200 bp	0.0152	5.5	0.1855	135	3	Positive	0.01
Plate 3_G7	200 bp to 1000 bp	0.2271	82.4	1.0205	366	3	Positive	0.01
Plate 3_H7	35 bp to 100 bp	0.0144	3.5	0.4031	59	3	Positive	0.01
Plate 3_H7	100 bp to 200 bp	0.0259	6.3	0.3032	140	3	Positive	0.01
Plate 3_H7	200 bp to 1000 bp	0.3538	85.5	1.5675	371	3	Positive	0.01
Plate 3_A8	35 bp to 100 bp	0.0102	0.3	0.3004	56	3	Positive	0.1
Plate 3_A8	100 bp to 200 bp	0.0154	0.5	0.1436	176	3	Positive	0.1
Plate 3_A8	200 bp to 1000 bp	2.9338	97.7	12.6001	383	3	Positive	0.1
Plate 3_B8	35 bp to 100 bp	0.0178	0.5	0.4345	67	3	Positive	0.1
Plate 3_B8	100 bp to 200 bp	0.04	1.1	0.4018	164	3	Positive	0.1
Plate 3_B8	200 bp to 1000 bp	3.6239	97.2	15.5296	384	3	Positive	0.1
Plate 3_C8	35 bp to 100 bp	0.0151	0.4	0.3843	64	3	Positive	0.1
Plate 3_C8	100 bp to 200 bp	0.0632	1.5	0.6434	161	3	Positive	0.1
Plate 3_C8	200 bp to 1000 bp	3.994	96.8	16.6502	395	3	Positive	0.1
Plate 3_D8	35 bp to 100 bp	0.019	5.9	0.4647	67	3	Negative	0.1
Plate 3_D8	100 bp to 200 bp	0.0344	10.7	0.413	137	3	Negative	0.1
Plate 3_D8	200 bp to 1000 bp	0.2538	79	1.1679	357	3	Negative	0.1
Plate 3_E8	35 bp to 100 bp	0.0143	0.4	0.3749	63	3	Positive	0.1
Plate 3_E8	100 bp to 200 bp	0.0225	0.6	0.2312	160	3	Positive	0.1
Plate 3_E8	200 bp to 1000 bp	3.7771	97.8	15.415	403	3	Positive	0.1
Plate 3_F8	35 bp to 100 bp	0.0466	0.9	1.0009	76	3	Positive	0.1
Plate 3_F8	100 bp to 200 bp	0.0418	0.8	0.4132	166	3	Positive	0.1
Plate 3_F8	200 bp to 1000 bp	4.8204	97.1	19.8514	400	3	Positive	0.1
Plate 3_G8	35 bp to 100 bp	0.0158	0.5	0.4259	61	3	Positive	0.1
Plate 3_G8	100 bp to 200 bp	0.0254	0.7	0.2556	164	3	Positive	0.1
Plate 3_G8	200 bp to 1000 bp	3.3499	97.3	13.4443	410	3	Positive	0.1
Plate 3_H8	35 bp to 100 bp	0.0148	15.2	0.4091	59	3	Negative	0.1
Plate 3_H8	100 bp to 200 bp	0.0133	13.7	0.1596	137	3	Negative	0.1
Plate 3_H8	200 bp to 1000 bp	0.0522	53.8	0.2742	313	3	Negative	0.1
Plate 3_A9	35 bp to 100 bp	0.0224	0.1	0.5678	65	3	Positive	1
Plate 3_A9	100 bp to 200 bp	0.0555	0.3	0.5502	166	3	Positive	1
Plate 3_A9	200 bp to 1000 bp	17.8791	98.5	72.3233	407	3	Positive	1
Plate 3_B9	35 bp to 100 bp	0.0249	25.7	0.5308	77	3	Negative	1
Plate 3_B9	100 bp to 200 bp	0.0206	21.3	0.2609	130	3	Negative	1
Plate 3_B9	200 bp to 1000 bp	0.0408	42.2	0.209	321	3	Negative	1
Plate 3_C9	35 bp to 100 bp	0.0202	0.1	0.5078	65	3	Positive	1
Plate 3_C9	100 bp to 200 bp	0.0816	0.4	0.8134	165	3	Positive	1
Plate 3_C9	200 bp to 1000 bp	19.5419	99.1	85.3237	377	3	Positive	1
Plate 3_D9	35 bp to 100 bp	0.0254	0.1	0.6714	62	3	Positive	1
Plate 3_D9	100 bp to 200 bp	0.0522	0.2	0.5241	164	3	Positive	1
Plate 3_D9	200 bp to 1000 bp	21.4053	98.7	83.6035	421	3	Positive	1
Plate 3_E9	35 bp to 100 bp	0.0254	0.1	0.6306	66	3	Positive	1
Plate 3_E9	100 bp to 200 bp	0.088	0.4	0.9316	155	3	Positive	1
Plate 3_E9	200 bp to 1000 bp	20.1051	98.4	78.7781	420	3	Positive	1
Plate 3_F9	35 bp to 100 bp	0.039	0.1	0.9739	66	3	Positive	1
Plate 3_F9	100 bp to 200 bp	0.0709	0.3	0.7891	148	3	Positive	1
Plate 3_F9	200 bp to 1000 bp	26.3999	98.7	99.7317	436	3	Positive	1
Plate 3_G9	35 bp to 100 bp	0.2946	5.7	5.4402	89	3	Positive	1
Plate 3_G9	100 bp to 200 bp	0.3211	6.2	3.6817	143	3	Positive	1
Plate 3_G9	200 bp to 1000 bp	4.4183	85.8	18.1001	402	3	Positive	1
Plate 3_H9	35 bp to 100 bp	0.0299	0.1	0.8245	60	3	Positive	1
Plate 3_H9	100 bp to 200 bp	0.1816	0.7	1.8852	158	3	Positive	1
Plate 3_H9	200 bp to 1000 bp	25.1104	98.3	99.6427	415	3	Positive	1
Plate 3_A10	35 bp to 100 bp	2e-4	0	0.0046	67	3	Positive	0.1
Plate 3_A10	100 bp to 200 bp	0.0076	0.2	0.071	175	3	Positive	0.1
Plate 3_A10	200 bp to 1000 bp	4.5575	99.4	19.7061	380	3	Positive	0.1
Plate 3_B10	35 bp to 100 bp	0.0162	0.2	0.3928	68	3	Positive	0.1
Plate 3_B10	100 bp to 200 bp	0.0591	0.9	0.6739	144	3	Positive	0.1
Plate 3_B10	200 bp to 1000 bp	6.7568	97.8	24.9132	446	3	Positive	0.1
Plate 3_C10	35 bp to 100 bp	0.0111	0.5	0.2906	63	3	Positive	0.1
Plate 3_C10	100 bp to 200 bp	0.0251	1.1	0.2451	168	3	Positive	0.1
Plate 3_C10	200 bp to 1000 bp	2.3161	97.4	9.6169	396	3	Positive	0.1
Plate 3_D10	35 bp to 100 bp	0.0174	6.2	0.426	67	3	Negative	0.1
Plate 3_D10	100 bp to 200 bp	0.0239	8.6	0.2772	141	3	Negative	0.1
Plate 3_D10	200 bp to 1000 bp	0.2261	81.4	1	372	3	Negative	0.1
Plate 3_E10	35 bp to 100 bp	0.013	0.5	0.3319	64	3	Positive	0.1
Plate 3_E10	100 bp to 200 bp	0.0532	1.9	0.593	147	3	Positive	0.1
Plate 3_E10	200 bp to 1000 bp	2.706	96.1	10.7329	415	3	Positive	0.1
Plate 3_F10	35 bp to 100 bp	0.0118	0.4	0.3126	62	3	Positive	0.1
Plate 3_F10	100 bp to 200 bp	0.0315	1	0.31	167	3	Positive	0.1
Plate 3_F10	200 bp to 1000 bp	2.9859	97.6	12.0559	407	3	Positive	0.1
Plate 3_H10	35 bp to 100 bp	0.0104	0.5	0.2798	61	3	Positive	0.1
Plate 3_H10	100 bp to 200 bp	0.0182	0.8	0.176	170	3	Positive	0.1
Plate 3_H10	200 bp to 1000 bp	2.1416	97.5	8.921	395	3	Positive	0.1
