genome	D300487	D300499
D300418:bin_000001	0.17353085030116647	0.1999959799803019
D300418:bin_000013	0.021926402732505602	0.02031889520079698
D300428:bin_000008	1.1142483575829947	0.07699804865465348
D300430:bin_000010	6.3362140490872365	12.926734343938534
D300432:bin_000001	1.6203644907857735	0.12277765117624354
D300435:bin_000001	20.27314481275087	6.176369377360404
D300442:bin_000001	0	0
D300442:bin_000015	1.7558932136461827	11.17432870161414
D300443:bin_000002	0.12054655183853878	0.7881676071546528
D300443:bin_000003	0.28468356756859975	26.808008435333882
D300444:bin_000010	21.346380415056913	11.844993390056693
D300452:bin_000016	34.45836703012574	50.18015720326274
D300458:bin_000001	0.30168115811060464	0.22920682321602232
D300462:bin_000001	249.67868018577434	0.02147802861468842
D300472:bin_000003	1.286716573111485	0.778971808792814
D300474:bin_000012	1.727560341636373	1.1305059371040496
D300475:bin_000015	0.3062576000494716	0.2680134161306821
D300479:bin_000001	0.015832324612597176	1.2902958405007856
D300479:bin_000005	0.049497617766299185	1.287753014036049
D300481:bin_000002	200.67793720824147	9.821184677775209
D300482:bin_000009	0.27516245225496827	0.8433369472134706
D300491:bin_000003	0.0014279008251481893	0.05185064871319362
D300492:bin_000003	22.120277245030575	7.94099630748128
D300493:bin_000002	0.17881830171551055	120.23600198687002
D300499:bin_000015	0.43349841824684293	72.5729802205288
D300500:bin_000011	0.11591585945357247	0.3095228381736556
D300506:bin_000004	77.44212856850257	1.3096782373767422
D300509:bin_000001	0.045909607987409055	15.928107402600762
D300511:bin_000002	0.5786026135519414	194.25351417913888
D300511:bin_000016	5.546377060806216	0.6319112660590878
D300514:bin_000003	0.02630209249816163	0.03871223473320972
D300519:bin_000006	0.13735292346746827	0.1223204764154241
D300521:bin_000005	0	0.1727049770167271
D300521:bin_000006	0.08959370763593412	1.2730072231031924
D300526:bin_000001	0.040806886268696045	0.019408153225355437
D300526:bin_000014	1.6148605790662134	0.5173209627953395
GEXTRA:bin_000001	0.03538662805063971	0
GEXTRA:bin_000002	0.026277963498796714	0.10458512421458736
GEXTRA:bin_000004	0.004928983839778816	0.04922138028890235
GEXTRA:bin_000006	0.010428125072417535	0.02884375020030382
GPB:bin_000001	9.697708332731125	7.519930683424436
GPB:bin_000002	8.274939267198622	0.022937091256837194
GPB:bin_000003	0.5948519291408354	0.6123395375308278
GPB:bin_000004	16.200182807106756	7.74955550859682
GPB:bin_000005	8.39313713197847	1.4077226426972984
GPB:bin_000009	1.685755335401254	0.04022372379747886
GPB:bin_000010	5.817314449548946	19.64733770027675
GPB:bin_000012	1.6429900597939615	1.2445729770680962
GPB:bin_000014	0.7903815644533077	14.965577740908136
GPB:bin_000015	32.11396731496668	15.131726854546782
GPB:bin_000016	2.552453652845162	2.4976827132969346
GPB:bin_000017	0.8396646418513972	0.33386040959636076
GPB:bin_000019	0.09850420281280353	3.0530827650994152
GPB:bin_000020	0.0066639888576274274	0.03648018642680582
GPB:bin_000021	33.69703776551548	12.081129107644479
GPB:bin_000022	25.55404725348343	8.29824794776538
GPB:bin_000023	0.7346951618147303	2.3365699351673195
GPB:bin_000024	4.657403800372246	1.6621626367236468
GPB:bin_000025	27.024164159537502	0.39051985228518504
GPB:bin_000026	0.008029894433088037	0.727703872221862
GPB:bin_000027	1.3236657401337746	2.6810826784350845
GPB:bin_000028	0.14945385881920228	2.0559187095337057
GPB:bin_000029	0.22475917355814526	0.47530813855827914
GPB:bin_000031	1.9612724033120217	2.057158734424957
GPB:bin_000032	3.9884965124347223	2.971734287696746
GPB:bin_000033	3.2041644147511006	2.5183123857272633
GPB:bin_000034	26.83004408732853	24.391398110365305
GPB:bin_000035	2.242646353827223	1.7066301544257603
GPB:bin_000038	4.098556175037155	5.991761299171406
GPB:bin_000039	0.04912790305427131	0.1361137314022367
GPB:bin_000040	0.059162561668655925	0.3102872592978439
GPB:bin_000041	0.8665012791689278	0.18016900534925187
GPB:bin_000042	3.5835110710583703e-4	1.1718479370257655
GPB:bin_000043	0.0013760126593164658	0.003268030065876606
GPB:bin_000045	0.9313837752835212	0.5633907354581923
GPB:bin_000049	1.8508044585344214	1.2581146745141516
GPB:bin_000051	1.4646193606547326	0.04523608248401896
GPB:bin_000053	4.248686965642428	15.338215202170522
GPB:bin_000054	129.3779913752429	14.345780986349133
GPB:bin_000055	1.3734993096759913	0.7179283561675691
GPB:bin_000056	0.006082413501677465	9.358220008365986
GPB:bin_000057	1.636513203450014	2.8926689969588026
GPB:bin_000058	0.1548111163536407	0.32460647773215995
GPB:bin_000059	11.097353246933881	13.548368899659057
GPB:bin_000060	1.313583218678113	10.948403890068827
GPB:bin_000061	0.7030891384886552	1.6411015395798167
GPB:bin_000065	0.7607022071171797	6.911066845355476
GPB:bin_000067	4.01264095743066	9.53974216748965
GPB:bin_000069	0.9341605078953082	0.9912243133300128
GPB:bin_000070	65.05219839268105	179.11272543741282
GPB:bin_000071	2.6247264862851654	1.7845050512745633
