Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eD3_1 tile.czi,2,317.9,1,old ileum
G103bO2_1 tile.czi,3,320.87,0,young colon
G103bO2_2 tile.czi,1,320.88,50,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,322.07,2438,old caecum
G103bO2 tile.czi,2,322.1,16,young colon
G121eO3_2 tile.czi,3,323.9,244,old colon
G121eO3_3 tile.czi,1,325.2,847,old colon
G103bI3_3 tiles.czi,1,325.63,1210,young caecum
G103bI3_1 tile.czi,2,326.02,864,young caecum
G103bI3_2 tiles.czi,3,326.23,1656,young caecum
G121eI B2-3 stitch.czi,4,326.8,200,old caecum
G121eD3_2 tile.czi - Scene #2,3,327.02,147,old ileum
G121eD3_3 tile.czi,1,327.02,1,old ileum
