Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eI1_4 tile 241014 A cryosection.czi,6,2258.65,2100,old caecum
G103bI3_3 tiles.czi,1,2262.21,1770,young caecum
G103bI3_1 tile.czi,2,2264.7,2675,young caecum
G103bI3_2 tiles.czi,3,2266.14,917,young caecum
G121eI B2-1 stitch.czi,3,2266.32,1133,old caecum
G121eD3_1 tile.czi,2,2266.9,0,old ileum
G121eO3_2 tile.czi,3,2266.9,150,old colon
G121eD3_2 tile.czi - Scene #2,3,2269.5,0,old ileum
G121eD3_3 tile.czi,1,2269.5,0,old ileum
G121eO3_1 tile.czi,2,2269.5,231,old colon
G121eO3_3 tile.czi,1,2270.3,1074,old colon
G121eI B2-3 stitch.czi,4,2271.9,548,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,2339.25,2298,old caecum
G103bI3_3 tiles.czi,1,2342.81,517,young caecum
G103bI3_1 tile.czi,2,2344.2,2276,young caecum
G121eD3_1 tile.czi,2,2346,10,old ileum
G103bI3_2 tiles.czi,3,2347.14,239,young caecum
G121eI B2-1 stitch.czi,3,2347.32,1076,old caecum
G121eO3_3 tile.czi,1,2348.3,1007,old colon
G121eO3_2 tile.czi,3,2348.7,25,old colon
G121eD3_2 tile.czi - Scene #2,3,2350.3,0,old ileum
G121eD3_3 tile.czi,1,2350.3,0,old ileum
G121eO3_1 tile.czi,2,2350.3,1233,old colon
G121eI B2-3 stitch.czi,4,2352.5,440,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,2419.65,2280,old caecum
G103bI3_1 tile.czi,2,2423.6,2253,young caecum
G121eD3_1 tile.czi,2,2427.2,304,old ileum
G121eI B2-1 stitch.czi,3,2429.12,1113,old caecum
G121eD3_2 tile.czi - Scene #2,3,2429.9,22,old ileum
G121eD3_3 tile.czi,1,2429.9,0,old ileum
G121eO3_1 tile.czi,2,2429.9,812,old colon
G121eO3_3 tile.czi,1,2430.1,905,old colon
G121eO3_2 tile.czi,3,2431.9,166,old colon
G121eI B2-3 stitch.czi,4,2433.1,557,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,2500.65,1407,old caecum
G103bI3_1 tile.czi,2,2503.8,2818,young caecum
G121eI B2-1 stitch.czi,3,2508.22,1055,old caecum
G121eD3_1 tile.czi,2,2508.8,264,old ileum
G121eI B2-3 stitch.czi,4,2511.1,502,old caecum
G121eD3_2 tile.czi - Scene #2,3,2511.9,0,old ileum
G121eD3_3 tile.czi,1,2511.9,0,old ileum
G121eO3_1 tile.czi,2,2511.9,840,old colon
G121eO3_3 tile.czi,1,2513.3,1193,old colon
G121eO3_2 tile.czi,3,2513.9,201,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,2581.05,933,old caecum
G103bI3_1 tile.czi,2,2582.5,2908,young caecum
G121eD3_1 tile.czi,2,2589.4,68,old ileum
G121eI B2-1 stitch.czi,3,2590.42,900,old caecum
G121eI B2-3 stitch.czi,4,2592.9,647,old caecum
G121eO3_2 tile.czi,3,2593.2,53,old colon
G121eD3_2 tile.czi - Scene #2,3,2593.9,0,old ileum
G121eD3_3 tile.czi,1,2593.9,0,old ileum
G121eO3_1 tile.czi,2,2593.9,632,old colon
G121eO3_3 tile.czi,1,2595.3,373,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,2662.65,1593,old caecum
G103bI3_1 tile.czi,2,2664.3,2799,young caecum
G121eI B2-1 stitch.czi,3,2671.02,210,old caecum
G121eO3_2 tile.czi,3,2671.6,160,old colon
G121eO3_3 tile.czi,1,2674.6,353,old colon
G121eI B2-3 stitch.czi,4,2676.1,615,old caecum
G121eD3_2 tile.czi - Scene #2,3,2678.3,0,old ileum
G121eD3_3 tile.czi,1,2678.3,0,old ileum
G121eO3_1 tile.czi,2,2678.3,560,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,2743.05,1898,old caecum
G103bI3_1 tile.czi,2,2746.9,2899,young caecum
G121eO3_2 tile.czi,3,2751.4,29,old colon
G121eI B2-1 stitch.czi,3,2751.62,541,old caecum
