microsample	total_before_filtering.total_reads	total_after_filtering.total_reads	total_low_quality_reads	total_adapter_trimmed_reads	total_before_filtering.total_bases	total_after_filtering.total_bases	total_adapter_trimmed_bases	percent_before_filtering.gc_content	percent_after_filtering.gc_content	percent_duplication.rate
M301524	29783814	28854816	424370	1539358	4467572100	4302202340	26464319	0.515345	0.51077	0.112225
M301525	1659328	1585554	32758	150066	248899200	235049164	2878201	0.521821	0.515162	0.538725
M301526	52571864	50947556	773760	2024553	7885779600	7610511220	32284801	0.514401	0.51002	0.192788
M301527	32675656	31722710	569352	1366731	4901348400	4737238442	21660855	0.509974	0.506449	0.191533
M301528	26153824	25373360	371970	1332752	3923073600	3783747722	22746401	0.508272	0.5039	0.103795
M301529	900600	863288	16402	72193	135090000	128211931	1338032	0.490973	0.484247	0.555356
M301530	39301632	38285116	541494	1879880	5895244800	5711576964	31650317	0.514052	0.510725	0.143713
M301531	46006914	44709100	654058	1773702	6901037100	6678077530	28781383	0.513174	0.509344	0.201349
M301532	41985962	40525536	652686	1412441	6297894300	6056682452	22596632	0.519714	0.514594	0.230397
M301533	1583022	1522142	27174	138103	237453300	225747597	2656012	0.506159	0.500267	0.551501
M301534	2536124	2459708	37998	187674	380418600	365657464	3389263	0.50253	0.498321	0.569489
M301535	39036630	37199568	767324	1210640	5855494500	5560984725	19436693	0.520557	0.51304	0.304215
M301536	46231592	45073424	653672	1686664	6934738800	6735301492	26074792	0.509588	0.506509	0.260147
M301537	36987622	35917724	540642	1332241	5548143300	5367085685	21007732	0.504159	0.500031	0.185051
M301538	33483028	32236498	548384	1168173	5022454200	4817487736	19326706	0.508999	0.503104	0.44962800000000003
M301539	5491792	5260482	116050	552878	823768800	779010905	10474656	0.496277	0.489801	0.705471
M301540	41547562	40101934	626914	1762114	6232134300	5988044358	28831588	0.507677	0.502214	0.607094
M301541	37192494	35865968	631842	1632541	5578874100	5354304932	27024450	0.513187	0.50788	0.475948
M301542	36883754	35583752	619242	1406947	5532563100	5316304553	22830760	0.511958	0.506738	0.530203
M301543	14367870	13712668	386506	1117422	2155180500	2036992472	21384174	0.508016	0.50196	0.696733
M301544	36826172	35590766	668514	1115735	5523925800	5321738130	17922734	0.513362	0.508868	0.607142
M301545	51558288	49860240	820854	2482125	7733743200	7435466576	47289676	0.508273	0.503388	0.310662
M301546	7262342	6925386	136926	615646	1089351300	1027199428	12873637	0.484349	0.476059	0.691736
M301547	40353760	38982828	650166	1517437	6053064000	5823323142	25902008	0.511693	0.506695	0.574608
M301548	40763394	38425568	888986	1208819	6114509100	5744406111	21937766	0.518504	0.508614	0.558113
M301549	53683458	52019066	839694	1953282	8052518700	7771657468	32633883	0.514297	0.510021	0.711612
M301550	4495614	4305922	87502	425506	674342100	637818686	8598940	0.506075	0.499736	0.695868
M301551	42507072	40565458	806962	1125297	6376060800	6067170522	20208444	0.514056	0.506523	0.596259
M301552	6302824	6057842	111670	453506	945423600	900818060	8263127	0.526861	0.521304	0.699375
M301553	29818102	28824646	487306	1379029	4472715300	4300763638	24255419	0.508757	0.503832	0.631771
M301554	44521726	42810048	755138	2432755	6678258900	6379633728	49810469	0.497691	0.491284	0.712372
M301555	37740440	36251678	750260	1488712	5661066000	5414540519	28286391	0.51562	0.509965	0.682187
M301556	48035452	46444560	735616	2358590	7205317800	6930743604	40939691	0.512334	0.507395	0.723604
M301557	38651282	37254360	581652	1526059	5797692300	5565917973	27658706	0.528218	0.522717	0.697762
M301558	15851712	15227368	311190	1547420	2377756800	2254884141	31289638	0.501448	0.495449	0.729553
M301559	33827172	32221276	666840	2625989	5074075800	4784265379	56363133	0.4976	0.489802	0.725295
M301560	36495078	35449280	557344	1842467	5474261700	5287826464	33705538	0.516807	0.5131	0.710989
M301561	41879734	40518804	645074	2102355	6281960100	6044600309	37889316	0.511833	0.507108	0.739513
M301562	42762428	41308504	633584	4819684	6414364200	6105210499	100149015	0.5083	0.502844	0.746046
M301563	29463980	28169490	627562	3195346	4419597000	4166242361	64883789	0.495483	0.488444	0.73079
M301564	46789848	45335398	687482	2470389	7018477200	6763528244	40890409	0.515012	0.510569	0.724619
M301565	46450690	44698876	833692	1831546	6967603500	6678519908	32051329	0.507914	0.5022	0.726912
M301566	40327470	39035876	628158	1782040	6049120500	5829286303	29975874	0.508143	0.503438	0.719845
M301567	41600068	40425112	533708	2392293	6240010200	6026132122	41540453	0.513542	0.509434	0.732821
M301568	12961372	12401026	244116	1196717	1944205800	1839496875	22869530	0.486934	0.479567	0.738981
M301569	39205194	38001046	642078	3278283	5880779100	5644795128	59660056	0.512334	0.508276	0.742583
M301570	43862910	42561828	540696	2283151	6579436500	6344290855	49102982	0.510609	0.505585	0.364672
M301571	37778018	36808806	499490	1786460	5666702700	5489301701	32549532	0.507615	0.503889	0.225816
M301572	48519284	46781100	672290	2581029	7277892600	6969206161	48996042	0.512328	0.506254	0.429738
M301573	45676734	44480162	539164	2656277	6851510100	6620392709	52259239	0.511546	0.50748	0.372789
M301574	3411756	3287028	56812	277820	511763400	487575034	5781192	0.577541	0.57355	0.484613
M301575	3968226	3797548	93002	426472	595233900	560571025	9529329	0.535166	0.530041	0.543127
M301576	48076216	47079266	507996	2435348	7211432400	7019995508	42440649	0.514661	0.511817	0.439256
M301577	46353568	45148352	574490	2372746	6953035200	6730525019	42216984	0.519199	0.515401	0.234378
M301578	50340662	48879096	653094	1691264	7551099300	7303421903	29069016	0.509474	0.504762	0.394443
M301579	48934136	48002242	522460	2127252	7340120400	7166060227	34729739	0.502925	0.50043	0.484593
M301580	49507664	48021550	638456	1992899	7426149600	7170422201	33365448	0.513604	0.508896	0.541407
M301581	2861104	2730346	73982	237644	429165600	404983326	4751516	0.544413	0.539159	0.470821
