microsample	total_before_filtering.total_reads	total_after_filtering.total_reads	total_low_quality_reads	total_adapter_trimmed_reads	total_before_filtering.total_bases	total_after_filtering.total_bases	total_adapter_trimmed_bases	percent_before_filtering.gc_content	percent_after_filtering.gc_content	percent_duplication.rate
M300070	17340138	17016654	151380	1928729	2601020700	2503394525	60314714	0.473429	0.471165	0.124645
M300071	13884648	13528926	119046	2377966	2082697200	1964342249	81464046	0.48556	0.482426	0.117436
M300072	13709166	13151110	104954	3945118	2056374900	1861126393	143995658	0.453757	0.445916	0.116674
M300073	10769596	9586992	841754	1594716	1615439400	1397239277	51519523	0.454538	0.444626	0.17913
M300074	14218618	13470656	478952	2428282	2132792700	1956030416	76532123	0.43613	0.4298	0.208601
M300075	11100396	10730734	201374	1912828	1665059400	1558176954	60548481	0.431764	0.426953	0.155329
M300076	19372226	17383208	417386	4078242	2905833900	2535633270	174802625	0.441871	0.413834	0.658168
M300077	19553940	19127796	267516	2752010	2933091000	2800966154	74520902	0.469659	0.466577	0.680662
M300078	10173432	9886310	79770	2069787	1526014800	1426636100	70925296	0.456077	0.451148	0.112918
M300079	6883978	6657242	50456	1993322	1032596700	942055199	69303449	0.492749	0.488822	0.0914524
M300080	30627072	1571396	138766	28363792	4594060800	222435512	2015812591	0.727995	0.483169	0.873902
M300081	33358116	128798	825630	25830407	5003717400	18126751	1835941912	0.737917	0.425937	0.867035
M300082	15281704	14628660	341386	2849701	2292255600	2116941110	93802053	0.437285	0.430845	0.314392
M300083	14032604	13526802	239252	2243644	2104890600	1972085778	71564735	0.453784	0.447743	0.653126
M300084	15561424	14853128	318938	3434605	2334213600	2132436512	119568166	0.452836	0.44661	0.192451
M300085	28764486	8125310	17166612	11787385	4314672900	1164859928	402940679	0.719403	0.512654	0.312659
M300086	20721666	11940804	145954	10907508	3108249900	1718447732	674060398	0.574693	0.454881	0.524801
M300087	9400702	9110906	74810	2369765	1410105300	1302288217	79654185	0.473227	0.468295	0.100585
M300088	14862878	14326296	105362	3951369	2229431700	2038396583	141705316	0.500891	0.497828	0.117296
M300089	12518040	11247276	457602	3706772	1877706000	1589721911	150196626	0.464554	0.452526	0.271493
M300090	16649960	15875584	442304	3049378	2497494000	2304780817	92316308	0.431752	0.424064	0.699736
M300091	18180152	17671124	253128	3292340	2727022800	2561466605	104055388	0.44532	0.440886	0.233475
M300092	14112668	13469410	374960	2626604	2116900200	1950594317	83224577	0.426899	0.420176	0.483686
M300093	18031322	17634730	137554	3580521	2704698300	2546459235	115566068	0.444526	0.44027	0.21531
M300094	9939906	9493980	79104	2918898	1490985900	1341385013	108996629	0.501999	0.496377	0.0976379
M300095	18460162	16861760	129552	4793783	2769024300	2434952070	196547884	0.520629	0.502608	0.235303
M300096	8604534	8371020	55258	2515500	1290680100	1186735061	81718011	0.511362	0.509457	0.118075
M300097	11254704	10481786	212118	2936819	1688205600	1493350369	117730311	0.466451	0.458362	0.108265
M300098	11498414	10696746	309168	2234357	1724762100	1545920292	89608319	0.450321	0.440165	0.110722
M300099	14424788	10533418	1106282	3518116	2163718200	1540239361	190641576	0.494522	0.430848	0.628029
M300100	13185376	11316724	1190366	2732071	1977806400	1625154433	100618522	0.48538	0.470698	0.188993
M300101	15088484	13732342	939706	2373388	2263272600	1997261493	76404144	0.449124	0.440768	0.566763
M300102	10421610	10074852	79286	2104036	1563241500	1452748727	77712547	0.478514	0.473773	0.102251
M300103	19790990	5988402	112034	14470581	2968648500	857227048	980490028	0.661781	0.482891	0.772516
M300104	6351196	5684254	45704	2903845	952679400	772844487	124963823	0.496636	0.484403	0.0849793
M300105	8943068	8577526	168656	1513118	1341460200	1246260838	52574610	0.465014	0.46012	0.110734
M300106	28020670	1599246	360696	24213580	4203100500	228325954	1716619259	0.723972	0.460144	0.880902
M300107	13959186	12228344	1125674	2447517	2093877900	1769301809	88613973	0.45888	0.445204	0.217775
M300108	23044288	11133044	1218196	10457838	3456643200	1626898858	683214871	0.576176	0.427558	0.729518
M300109	16942696	15445478	1028722	2619092	2541404400	2246811274	85264405	0.488635	0.480384	0.288504
M300110	19854328	18265730	155552	3358627	2978149200	2683040904	155692100	0.460963	0.439507	0.334852
M300111	13278156	12694994	90084	3489181	1991723400	1803638761	136408801	0.497852	0.49254	0.102679
M300112	18615480	1398066	108884	16583687	2792322000	201551579	1175319831	0.730489	0.511494	0.782169
M300113	17157322	15914370	381714	3343441	2573598300	2307998582	132796400	0.443638	0.429376	0.274673
M300114	15782872	14506492	412812	3993136	2367430800	2068398442	165721795	0.466686	0.45625	0.113165
M300115	16631122	14289674	1410130	2765663	2494668300	2078115345	102257357	0.460178	0.44172	0.513616
M300116	16349930	14136178	1533062	2446275	2452489500	2056597740	82212224	0.461606	0.447074	0.160716
M300117	18068494	16702318	881298	3237489	2710274100	2419204912	105828681	0.497257	0.489458	0.639043
M300118	16848310	16493224	138360	2339549	2527246500	2412903724	76034877	0.468668	0.465646	0.122636
M300119	11590434	11280340	92894	2333577	1738565100	1626852146	80607145	0.486876	0.483512	0.0970059
M300120	10016502	9583036	79290	2762480	1502475300	1360796945	102067777	0.503676	0.499753	0.112344
M300121	34896470	121480	282130	32095298	5234470500	16341908	2294723819	0.739935	0.451662	0.934282
M300122	25304000	9768950	329730	16751005	3795600000	1375007330	1094824339	0.626686	0.454406	0.78381
M300123	12997730	11610780	907764	1955592	1949659500	1690413584	66451581	0.443188	0.42947	0.174186
M300124	33480536	10645220	1098132	19998608	5022080400	1566157028	1376778871	0.630428	0.417139	0.808193
M300125	17155430	14846860	1612928	2601070	2573314500	2159081930	85172045	0.447361	0.432873	0.565971
M300126	12559810	12186086	99982	2283734	1883971500	1764507780	83008840	0.466658	0.46204	0.111981
M300127	17121052	13008702	121406	5439172	2568157800	1904028721	319734309	0.506881	0.435635	0.472454
M300128	8041954	7779382	59392	2053597	1206293100	1110732327	70691918	0.496752	0.493525	0.103176
M300129	15364092	14565776	121120	4210617	2304613800	2064226956	169643363	0.460341	0.452378	0.104969
M300130	12697890	12122656	118598	3119178	1904683500	1727857676	123567002	0.460877	0.45418	0.10302
M300131	22671402	7965362	617660	14806424	3400710300	1137614127	991048564	0.637831	0.46587	0.775479
M300132	15990340	14487756	905712	3192609	2398551000	2086901146	115218610	0.474274	0.463301	0.14798
M300133	15980894	14094666	1248214	2876949	2397134100	2035705665	101750148	0.467943	0.454551	0.301296
M300134	16126984	15102022	121148	4353032	2419047600	2157102482	171170408	0.506137	0.49471	0.2447
M300135	20956034	20023644	147384	4776644	3143405100	2881665514	176923267	0.489576	0.481307	0.188041
M300136	16751622	14270666	144990	4076590	2512743300	2085222316	215461317	0.507673	0.471413	0.284705
M300137	24495282	23598132	268154	4964031	3674292300	3404129282	179389339	0.460453	0.455371	0.137855
M300139	10418558	8900342	697274	1822575	1562783700	1300735934	78119217	0.470045	0.444237	0.370703
M300140	10330596	9048202	739176	2340485	1549589400	1295626615	90606643	0.480403	0.468407	0.172783
M300141	14268548	12888024	956750	1981808	2140282200	1882716605	62556484	0.460378	0.449077	0.60582
M300142	15282266	15011410	101238	2492838	2292339900	2184260978	79277738	0.491473	0.48971	0.127721
M300143	10906658	10595868	81312	1901390	1635998700	1536463312	69406504	0.484341	0.480739	0.115885
M300144	20478566	1195392	105108	18401993	3071784900	175668162	1312458558	0.728157	0.518688	0.900598
M300145	2997350	1787578	43168	2641266	449602500	207257211	142528474	0.555019	0.486175	0.181682
M300146	5776516	5012990	101420	3496090	866477400	661639409	135735584	0.488967	0.459637	0.136457
M300147	6891360	555498	127432	6530794	1033704000	48136413	465572392	0.677569	0.475384	0.603373
M300148	37737120	294	330084	32428610	5660568000	34600	2323500649	0.740606	0.471012	0.930058
M300149	112	0	0	104	16800	0	7438	0.744524	0	0.571429
M300150	8812214	8303860	55130	2670120	1321832100	1172977734	105228432	0.485705	0.476432	0.115633
M300151	17613836	16384558	148608	3760666	2642075400	2373700784	159096945	0.470659	0.454698	0.158827
M300152	35965974	10734	224644	34112742	5394896100	1229634	2444155265	0.741267	0.409426	0.94226
M300153	43773792	98882	256162	40969601	6566068800	13101730	2933041616	0.740507	0.43952599999999997	0.943819
M300154	7094176	5018008	103960	5208393	1064126400	643143120	245725455	0.539983	0.470321	0.284257
M300155	33702146	208	172454	31098639	5055321900	25673	2229369206	0.74225	0.46917	0.923147
M300156	9739368	2716490	231686	8953128	1460905200	304258140	563443143	0.64942	0.453727	0.606391
M300157	45260	0	120	41538	6789000	0	2970348	0.742019	0	0.835882
M300158	21293430	1645198	105862	19224431	3194014500	229153460	1356440994	0.720571	0.478361	0.871396
M300159	18659634	15979218	123936	4891235	2798945100	2325726533	246567735	0.496343	0.458231	0.22467
M300160	10759396	10158768	85250	3847922	1613909400	1413966464	147142596	0.508024	0.503189	0.116538
M300161	4630268	3162632	54270	3633342	694540200	391147926	182584736	0.523189	0.464234	0.176377
M300162	50480078	290704	334934	46754465	7572011700	39789950	3342840191	0.739306	0.427558	0.94034
M300163	14284258	570564	120844	13530241	2142638700	49491692	967184610	0.710285	0.464315	0.783189
M300164	5022228	2460246	130774	4708598	753334200	266378584	274266041	0.573979	0.472883	0.310543
M300165	2422	0	2	2337	363300	0	167596	0.74213	0	0.799339
M300166	8268646	7700128	51702	3240745	1240296900	1063137601	129382506	0.517705	0.510777	0.130445
M300167	27435442	4967338	163808	22634087	4115316300	704155234	1568463325	0.70143200000000006	0.526936	0.786092
M300168	9261324	8616652	72312	3714197	1389198600	1185594173	147720333	0.520443	0.514508	0.0952749
M300169	10302004	9415964	265540	2849965	1545300600	1336388552	117591787	0.465798	0.454307	0.0985931
M300170	18920926	16708484	596902	6680527	2838138900	2324987985	292676425	0.492635	0.480435	0.139185
M300171	29147140	2931090	580400	23951523	4372071000	416124273	1682503478	0.712503	0.485352	0.850126
M300172	946322	720828	88272	152577	141948300	105419984	7061317	0.483186	0.435223	0.362384
M300173	23436572	20782294	1762642	3526480	3515485800	3023830375	116618834	0.479135	0.467933	0.231417
M300174	27524096	12825950	192858	16414383	4128614400	1839647585	1064530419	0.628228	0.503757	0.764779
M300175	19816940	11267648	146972	11319315	2972541000	1579135472	678005257	0.608485	0.515342	0.645181
M300176	13901172	13411432	116054	3842983	2085175800	1900624484	137735225	0.496831	0.492965	0.114828
M300177	43801700	73034	397190	39940688	6570255000	9803311	2861425617	0.740242	0.467516	0.898474
M300178	41962122	1345350	425912	37201862	6294318300	193711202	2650260036	0.730653	0.425259	0.895641
M300179	21189934	18313588	1631846	4519261	3178490100	2631605262	170478328	0.472593	0.45523	0.191979
M300180	49205680	331708	455494	44352627	7380852000	46428214	3170676741	0.738977	0.480925	0.92647
M300181	15089656	12807096	1537480	2336984	2263448400	1859485753	79984335	0.482176	0.469098	0.229595
M300182	15111014	14603680	120618	3006818	2266652100	2108009961	109919145	0.471761	0.466512	0.100045
M300183	12265394	11860960	95488	2505184	1839809100	1710681969	90482015	0.487625	0.483219	0.105239
M300184	12887746	12473936	109620	3373846	1933161900	1777256975	114937723	0.5005	0.496783	0.118511
M300185	14921722	13997510	427328	3141936	2238258300	2014522665	113795261	0.45708	0.448482	0.108779
M300186	9369142	8451290	230336	3252725	1405371300	1176493774	138487462	0.485436	0.472973	0.108551
M300187	15378876	13290198	1204578	3575117	2306831400	1898148032	137647340	0.47278	0.458277	0.163541
M300188	15532194	13296720	1323978	2970286	2329829100	1920851170	107622154	0.480407	0.461563	0.171126
M300189	20490726	7979666	1403722	10445218	3073608900	1165383945	692813344	0.603586	0.420634	0.755652
M300190	10304208	10062664	74928	2009111	1545631200	1453813774	67254535	0.453739	0.449287	0.103383
M300191	13470874	13084902	104738	3143585	2020631100	1874579566	108266489	0.51975	0.518042	0.126005
M300192	13527744	893076	67252	12187657	2029161600	125919988	863874851	0.723772	0.483897	0.887454
M300193	2212238	2115258	58570	270957	331835700	310110585	8989286	0.458689	0.454033	0.100646
M300194	7184050	6819290	188430	848312	1077607500	1001353803	30743849	0.453772	0.44701	0.12528
M300195	10264704	9776256	319418	872907	1539705600	1443546445	28625507	0.447527	0.442742	0.132037
M300196	6059824	3804216	102778	3045667	908973600	537149187	173849211	0.565682	0.470903	0.401238
M300197	9521558	7491412	228844	3400949	1428233700	1071286049	166113791	0.518576	0.467087	0.477661
M300198	182	0	10	159	27300	0	10934	0.737985	0	0.637363
M300199	2	2	0	0	300	300	0	0.336667	0.336667	0
M300200	2	0	0	2	300	0	139	0.746667	0	0
M300201	2864544	2755320	58828	343264	429681600	404101018	11759221	0.441032	0.435727	0.121543
M300202	5831382	5528286	152436	822372	874707300	807574254	29725007	0.447548	0.439423	0.131713
M300203	9608794	9215266	139740	1561450	1441319100	1343088806	54296456	0.451495	0.443694	0.166462
M300204	10082570	7316266	214694	3344842	1512385500	1067010012	196531106	0.515671	0.438286	0.353892
M300205	11197904	4796566	185420	6689869	1679685600	692329283	435138293	0.609889	0.440748	0.698778
M300206	29686378	25430	368280	26907923	4452956700	2815868	1888684377	0.741255	0.480177	0.93633
M300207	23523140	9372	340148	21236784	3528471000	1214696	1491035427	0.741454	0.450921	0.908371
M300208	15480	118	228	13368	2322000	15574	935148	0.738329	0.425453	0.79186
M300209	193676692	182635994	7101872	20786063	29051503800	26847072206	677178123	0.441813	0.434812	0.192367
M300210	9627830	8954736	442388	976379	1444174500	1317810948	31607735	0.447316	0.438152	0.131687
M300211	8752056	8098302	411752	955279	1312808400	1190665269	32243026	0.448354	0.438933	0.170305
M300212	6469574	5887628	401746	591070	970436100	867758980	19054503	0.447252	0.4367	0.221343
M300213	12431560	10982044	843210	947926	1864734000	1628650448	40154903	0.440111	0.423382	0.590889
M300214	10422894	8727346	782138	960531	1563434100	1298872728	52968290	0.455058	0.426216	0.607134
M300215	21246130	515466	540372	18604863	3186919500	73965447	1299620881	0.732766	0.416273	0.880178
M300216	7808790	7142604	132806	1189086	1171318500	1051931650	52196195	0.457135	0.435746	0.521929
M300217	5812084	5479364	218688	515285	871812600	808654309	16503662	0.434214	0.427338	0.140991
M300218	9038962	8181470	591576	971935	1355844300	1202246198	32215270	0.4427	0.43285	0.122702
M300219	11565776	10896024	446318	1052384	1734866400	1608169398	32393795	0.434257	0.427057	0.228307
M300220	9150298	8230372	471220	936386	1372544700	1216117611	37552302	0.440896	0.423658	0.486219
M300221	9517462	8304100	872834	627369	1427619300	1230520308	18583801	0.440742	0.429055	0.502334
M300222	15201310	8247656	845634	5775657	2280196500	1228285463	392755977	0.549688	0.416835	0.733029
M300223	24209052	102604	528506	21737460	3631357800	14408335	1522566565	0.739849	0.441517	0.912835
M300224	9938618	8537984	703858	989325	1490792700	1265126201	45774010	0.438135	0.413652	0.570529
M300225	1260	766	70	960	189000	90892	53861	0.502577	0.445034	0.0857143
M300226	10571678	9446850	746894	1201246	1585751700	1385900921	39934635	0.434439	0.421247	0.225132
M300227	7992248	7132766	583004	900576	1198837200	1046580988	29359762	0.43406	0.422698	0.445723
M300228	9975648	8733036	840480	1153916	1496347200	1280533074	37764785	0.43817	0.424277	0.578415
M300229	10671446	9135806	984756	1403575	1600716900	1335628874	47689687	0.443202	0.425567	0.61607
M300230	6442896	5518994	583292	1087048	966434400	801030886	39146887	0.451372	0.430855	0.599698
M300231	2738338	1857016	306064	1180257	410750700	253970573	58795564	0.558279	0.488706	0.655183
M300232	9561316	8253940	925006	889678	1434197400	1215933605	27332710	0.433804	0.418308	0.578744
M300233	3454630	3261002	36580	1205227	518194500	454764758	45330219	0.493664	0.487959	0.127468
M300234	4917960	4658854	58466	1618971	737694000	652877976	59623478	0.497599	0.492794	0.121881
M300235	5312334	5072068	59576	1659265	796850100	714220286	58810205	0.496271	0.491743	0.118633
M300236	5757768	5475582	68664	1856786	863665200	769138995	66542232	0.496748	0.491628	0.149636
M300237	7244230	6652256	73548	2335842	1086634500	941003057	91041274	0.508102	0.493285	0.295808
M300238	5880950	4754730	54436	2405752	882142500	669796105	114941893	0.53574600000000006	0.493375	0.53531
M300239	11817978	797360	138548	10764167	1772696700	95564941	743105004	0.717341	0.447791	0.873283
M300240	19922318	19043624	171690	3636434	2988347700	2760563129	145094806	0.482302	0.477319	0.331506
M300241	5748904	5452768	64350	1808844	862335600	767269798	66513810	0.49089	0.485226	0.144712
M300242	5854236	5629156	64606	1565610	878135400	801361246	53622851	0.492777	0.488449	0.13734
M300243	7373232	7094578	77500	1933576	1105984800	1010937952	66340596	0.491891	0.487271	0.116403
M300244	7412262	7061170	83400	2397955	1111839300	992088605	84733887	0.497237	0.49191	0.155122
M300245	10638018	9648952	103198	3285210	1595702700	1373522467	131864162	0.503838	0.484631	0.456872
M300246	6155304	5830408	80352	1934305	923295600	821663917	68753648	0.490152	0.483851	0.57136
M300247	15368576	1973578	187744	13582801	2305286400	243480579	920437765	0.697995	0.45504	0.834051
M300248	9715246	9163280	102296	2152755	1457286900	1317380606	85588883	0.46949	0.460525	0.261009
M300249	16288600	6280	338694	14322175	2443290000	888242	1000647115	0.741656	0.444439	0.920148
M300250	22975824	876852	755428	18997454	3446373600	120893681	1310315224	0.727902	0.449606	0.886935
M300251	5559634	5100388	167372	1704870	833945100	720968778	64367683	0.481424	0.470073	0.700064
M300252	4830810	1412574	2458062	2163633	724621500	184670289	96624501	0.519292	0.492167	0.375947
M300253	7739272	5538812	1262012	3282453	1160890800	798467415	99825335	0.49056	0.436972	0.687141
M300254	4692310	3818396	73328	2809387	703846500	495491649	135502331	0.450134	0.416279	0.553541
M300255	4643020	3767184	64826	2899376	696453000	484492465	139461573	0.460753	0.428642	0.548761
M300256	22065098	59282	194002	20243249	3309764700	6869723	1424784115	0.741117	0.462524	0.913995
M300257	4476056	4171992	123956	658844	671408400	608973574	27935295	0.445793	0.436403	0.115541
M300258	8912456	8408534	199258	1205220	1336868400	1230272234	50068640	0.443777	0.436169	0.121162
M300259	572054	536854	18700	73537	85808100	78629138	2935907	0.43344	0.426659	0.00675461
M300260	7543640	6887266	163084	1420369	1131546000	1001264574	63318979	0.455458	0.438351	0.180016
M300261	12120104	11343018	286276	1502735	1818015600	1667123938	62967758	0.438646	0.427963	0.434998
M300262	12421772	8853364	197334	4666148	1863265800	1276244270	268951191	0.518801	0.439167	0.672478
M300263	16922774	1627884	221434	14874601	2538416100	204096232	1017224841	0.705578	0.451371	0.847628
M300264	13389746	12996530	108112	2142023	2008461900	1893137601	73222274	0.430736	0.424581	0.249967
M300265	3959966	3713102	149346	529122	593994900	542703270	18953935	0.445854	0.439453	0.122235
M300266	7013978	6722430	165476	859143	1052096700	985307884	29531570	0.445637	0.440269	0.123273
M300267	9419310	9045952	204046	1177508	1412896500	1325468462	40056216	0.444201	0.438848	0.135415
M300268	12957176	12230384	299138	1805903	1943576400	1790977028	67996566	0.44912	0.43897	0.182206
M300269	13794226	13062856	350270	1628186	2069133900	1920068133	59437671	0.44282	0.434928	0.359722
M300270	7617048	3751558	118390	4199752	1142557200	541426789	268938125	0.592134	0.446839	0.683769
M300271	19137010	182044	252430	17609609	2870551500	22809764	1236300823	0.737294	0.453042	0.907721
M300272	9672284	8185478	83150	2802896	1450842600	1182854152	135199650	0.482357	0.440027	0.510314
M300273	3866318	3512348	243538	385561	579947700	516937080	13021837	0.43509	0.424818	0.112116
M300274	8849336	7998690	591730	815580	1327400400	1178945585	27096910	0.436272	0.42469	0.126014
M300275	9599882	8608266	677394	1000748	1439982300	1266271283	33320918	0.435686	0.423989	0.142592
M300276	12263076	10808524	853284	1443718	1839461400	1589959431	55668618	0.440102	0.423663	0.262638
M300277	15088598	13475594	1127812	957948	2263289700	1998540285	32408778	0.428042	0.417629	0.534986
M300278	13816122	11646148	1010388	1758765	2072418300	1720324451	82169901	0.457736	0.43017	0.618416
M300279	19378754	2811306	576212	15679083	2906813100	393303844	1068187301	0.69463	0.45215	0.848011
M300280	12035074	11355910	166062	1754157	1805261100	1667923544	66178327	0.451946	0.439202	0.49079
M300281	2414340	2194644	156390	238899	362151000	323071172	7738981	0.437479	0.428201	0.118042
M300282	7366794	6732236	452022	770824	1105019100	990139373	24604615	0.437564	0.428763	0.122657
M300283	10052928	9344642	477964	1030975	1507939200	1375554422	32690157	0.436174	0.427509	0.157155
M300284	13323126	12088872	783864	1205839	1998468900	1784852269	41592091	0.4367	0.424101	0.381842
M300285	12768072	11417350	935016	728175	1915210800	1695564051	24575705	0.429018	0.418057	0.584988
M300286	10261320	8468012	502616	1917263	1539198000	1246469006	97286607	0.466858	0.425141	0.686892
M300289	20	20	0	0	3000	3000	0	0.499	0.499	0.1
M300290	5902590	5372942	360964	570615	885388500	791365671	18103083	0.4351	0.423189	0.137576
M300291	9200574	8155580	722426	826411	1380086100	1202683331	25143625	0.440916	0.427224	0.446465
M300292	7750626	6973056	532388	829478	1162593900	1024901303	25824474	0.435959	0.424276	0.589232
M300293	6212646	5497574	488872	757212	931896900	805457187	23724516	0.438244	0.425753	0.681261
M300294	6474998	5587532	591090	669831	971249700	821783042	22182427	0.446831	0.43029	0.641627
M300295	2615974	463398	921518	1958067	392396100	50621666	111985755	0.66329	0.520728	0.387893
M300296	5834948	5087952	538156	526127	875242200	750273184	15772671	0.431454	0.41928	0.595998
M300297	2278636	2200156	22610	586033	341795400	313979882	19716260	0.487516	0.483496	0.12208
M300298	3134360	3031584	32824	814120	470154000	432469664	26827119	0.492218	0.488573	0.114249
M300299	4259920	4121492	44186	1084805	638988000	588568285	35475449	0.493086	0.489469	0.127527
M300300	5367104	5051030	55226	1537194	805065600	718496440	56516950	0.496204	0.485868	0.163416
M300301	6343744	5909286	62620	1880365	951561600	839954353	70989254	0.499674	0.48706700000000003	0.263595
M300302	6281334	5463152	59766	2098802	942200100	778266114	91585688	0.514764	0.486122	0.538643
M300303	9873040	606936	92796	9089009	1480956000	71993778	628829891	0.71968	0.442277	0.85932
M300304	5943610	5677818	65852	1036474	891541500	824193447	40087128	0.477813	0.471436	0.18716
M300305	3546728	3444854	33752	767826	532009200	495763327	25373554	0.502148	0.499684	0.147506
M300306	3078930	2990498	31758	669726	461839500	430219861	21836031	0.505064	0.502149	0.122897
M300307	5194470	5055690	52848	1097597	779170500	728760126	34862977	0.506315	0.503849	0.121639
M300308	5859300	5685772	59096	1262899	878895000	819253441	40793237	0.504618	0.501501	0.140376
M300309	6444764	6190104	63866	1505828	966714600	889587421	50994414	0.508175	0.502899	0.2416
M300310	5564396	5043920	53160	1840111	834659400	714635340	72584222	0.519616	0.502706	0.521657
M300311	6804594	1717332	97038	5844644	1020689100	210382976	379019087	0.652938	0.443534	0.67917400000000006
M300312	5420440	5028494	49798	1468284	813066000	715289172	62460416	0.469126	0.458926	0.210418
M300313	20499596	43956	489452	18115281	3074939400	5872703	1266756240	0.740164	0.479353	0.915534
M300314	24573626	210798	791572	20639230	3686043900	29560549	1433212904	0.736764	0.424575	0.903372
M300315	16109544	1629632	1193742	13072324	2416431600	214096665	874641285	0.702371	0.394382	0.776992
M300316	5981946	4616066	424000	1794740	897291900	654130686	99869642	0.537806	0.485514	0.779581
M300317	6467116	4794446	618276	3658637	970067400	669187391	130152629	0.478284	0.411071	0.767885
M300318	4211692	3089642	59742	2996204	631753800	386081940	154604671	0.475852	0.430619	0.446592
M300319	2836056	2185054	46884	1965567	425408400	274046084	97651591	0.463842	0.423295	0.456536
M300320	12614734	24152	129634	11495603	1892210100	2459893	808604221	0.741097	0.44405	0.919942
M300321	3245414	3064574	97620	482858	486812100	446850463	17273967	0.457754	0.451478	0.125307
M300322	5007860	4749466	141072	656563	751179000	695031173	23660641	0.453146	0.447058	0.117657
M300323	7188974	6863582	153926	1003663	1078346100	1003177350	36238780	0.455624	0.449807	0.119564
M300324	7678748	7144824	185568	1217977	1151812200	1043389691	49267583	0.461073	0.448889	0.174169
M300325	8013590	7305934	152054	1498910	1202038500	1064998180	65694366	0.464834	0.445532	0.387254
M300326	8008962	6171728	127626	2697490	1201344300	889974088	145633117	0.512996	0.45422	0.64872
M300327	20117796	1122072	270160	17866497	3017669400	144777471	1236642337	0.722624	0.46189	0.90317
M300328	11506678	166340	120282	10605301	1726001700	18807726	744707914	0.736061	0.441922	0.886586
M300329	3373564	3192104	122662	358750	506034600	469311215	11799799	0.457832	0.453382	0.148132
M300330	5940180	5614822	215460	594380	891027000	826996628	19279915	0.458009	0.452163	0.139098
M300331	7526770	7205564	202654	754593	1129015500	1061792581	23914738	0.456274	0.451216	0.129321
M300332	7813882	7315194	205518	953787	1172082300	1077247486	36186964	0.460763	0.449917	0.188476
M300333	7428250	6853780	180476	1092307	1114237500	1007066433	43866422	0.467283	0.451282	0.355386
M300334	10675342	3799376	204676	6924148	1601301300	548168861	456614881	0.636458	0.456234	0.769053
M300335	14704174	283244	222682	13269786	2205626100	38512655	928620552	0.735009	0.441298	0.915924
M300336	10888682	969980	111184	9584720	1633302300	126997017	660217395	0.710068	0.415531	0.841097
M300337	2539158	2255636	199706	256527	380873700	331742943	8735992	0.450307	0.437807	0.109287
M300338	7203996	6434670	518474	752793	1080599400	945982021	25295167	0.451789	0.436899	0.115827
M300339	7117924	6399706	471792	722038	1067688600	941672458	24710232	0.449228	0.435196	0.140059
M300340	9158122	7437884	702684	1619616	1373718300	1090420904	79684090	0.47174	0.437505	0.261343
M300341	7909698	6644990	583938	1272864	1186454700	973819201	55991586	0.448023	0.419817	0.561197
M300342	7155064	6355296	444696	1160991	1073259600	926281589	42502088	0.413675	0.396584	0.195084
M300343	14914480	2895388	534510	11219962	2237172000	414082002	764016283	0.668286	0.404204	0.853659
M300344	19548306	119580	195832	17864165	2932245900	12658875	1255808364	0.739069	0.454149	0.920452
M300345	2223634	1989562	168212	229333	333545100	292634073	7539237	0.440184	0.430569	0.122405
M300346	5793982	5210746	405044	649587	869097300	765131608	21220859	0.442337	0.430707	0.119973
M300347	5668506	5223930	305826	540744	850275900	769879871	17085587	0.431149	0.423058	0.205809
M300348	9105920	8069054	609940	990146	1365888000	1188968496	37666343	0.439815	0.424716	0.406957
M300349	11550854	9981290	683116	1761890	1732628100	1466471232	76087085	0.451049	0.426114	0.653738
M300350	8126254	5797510	492770	2241384	1218938100	850020524	128509747	0.49858	0.424061	0.759099
M300351	13193158	572826	321796	11584487	1978973700	80860606	807121474	0.72527	0.412239	0.883989
M300352	6603404	1419684	84390	5754248	990510600	168152237	371871592	0.676637	0.475964	0.736961
M300353	4923268	4507962	287546	473860	738490200	664092404	15086872	0.438905	0.429698	0.120839
M300354	8400712	7530272	596040	854131	1260106800	1107792720	27181619	0.442283	0.43061	0.166804
M300355	11178448	9990628	806392	1086565	1676767200	1471138188	33839434	0.443081	0.430914	0.507677
M300356	6829928	6127188	478064	716128	1024489200	900873026	22381399	0.439873	0.42937	0.591991
M300357	9256178	8029634	872968	937191	1388426700	1181518397	28279258	0.444512	0.432026	0.623918
M300358	10955182	9535350	1002078	1330961	1643277300	1398422896	44694031	0.443822	0.42927	0.682665
M300359	1770974	1339844	224958	674772	265646100	184360860	29763709	0.445979	0.405786	0.588906
M300360	10605530	563338	131794	9467417	1590829500	70633609	657096521	0.726166	0.46572	0.799598
M300361	3481634	3280516	38156	1280831	522245100	455611458	47762899	0.494563	0.488286	0.109437
M300362	4003902	3802782	44412	1417715	600585300	529689166	51549337	0.501589	0.497077	0.140347
M300363	4186838	3942594	48924	1518470	628025700	548367279	56480366	0.499804	0.493688	0.1096
M300364	2080594	1948558	27338	655245	312089100	274949883	24153714	0.494047	0.484406	0.144675
M300365	6244902	5710900	62780	2365111	936735300	795150468	93455830	0.503435	0.489285	0.283696
M300366	5860956	4862532	59370	2571671	879143400	674730002	117678042	0.525644	0.490555	0.521482
M300367	8624022	2729092	124280	6635585	1293603300	361544082	428671854	0.632388	0.426377	0.722835
M300368	10988394	922310	123084	9704048	1648259100	118238391	667720712	0.7125	0.434784	0.855822
