Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,Plate,Type,Concentration,FA_plate
A3,Plate 1_A4,100 bp to 200 bp,0.1455,0.9,1.4415,166,13.77,300,7.9,1,Positive,1,FA_A
A3,Plate 1_A4,200 bp to 1000 bp,15.9398,96.5,58.3867,449,36.24,300,7.9,1,Positive,1,FA_A
B3,Plate 1_B4,35 bp to 100 bp,0.0387,0.2,1.0184,62,30.42,300,8.6,1,Positive,1,FA_A
B3,Plate 1_B4,100 bp to 200 bp,0.1427,0.6,1.4098,166,14.36,300,8.6,1,Positive,1,FA_A
B3,Plate 1_B4,200 bp to 1000 bp,22.6808,97,79.7681,468,32.86,300,8.6,1,Positive,1,FA_A
C3,Plate 1_C4,35 bp to 100 bp,0.0478,0.2,1.2004,65,29.02,300,8.1,1,Positive,1,FA_A
C3,Plate 1_C4,100 bp to 200 bp,0.1913,0.7,1.8727,168,13.75,300,8.1,1,Positive,1,FA_A
C3,Plate 1_C4,200 bp to 1000 bp,27.3458,97.7,101.9781,441,34.16,300,8.1,1,Positive,1,FA_A
D3,Plate 1_D4,35 bp to 100 bp,0.0292,0.1,0.754,64,30.43,300,8.6,1,Positive,1,FA_A
D3,Plate 1_D4,100 bp to 200 bp,0.1591,0.8,1.5596,168,13.78,300,8.6,1,Positive,1,FA_A
D3,Plate 1_D4,200 bp to 1000 bp,19.727,95.8,69.0847,470,33.48,300,8.6,1,Positive,1,FA_A
E3,Plate 1_E4,35 bp to 100 bp,0.0691,18.1,1.6805,67,31.71,300,4.4,1,Negative,1,FA_A
E3,Plate 1_E4,100 bp to 200 bp,0.0205,5.4,0.2461,137,19.1,300,4.4,1,Negative,1,FA_A
E3,Plate 1_E4,200 bp to 1000 bp,0.2196,57.5,0.9102,397,31.18,300,4.4,1,Negative,1,FA_A
F3,Plate 1_F4,35 bp to 100 bp,0.0576,0.1,1.4953,63,33.18,300,8.9,1,Positive,1,FA_A
F3,Plate 1_F4,100 bp to 200 bp,0.1421,0.4,1.5097,155,21.22,300,8.9,1,Positive,1,FA_A
F3,Plate 1_F4,200 bp to 1000 bp,39.2884,98.4,149.1284,433,29.75,300,8.9,1,Positive,1,FA_A
G3,Plate 1_G4,35 bp to 100 bp,0.0381,0.2,0.9915,63,29.81,300,8.7,1,Positive,1,FA_A
G3,Plate 1_G4,100 bp to 200 bp,0.1058,0.5,1.0616,164,16.51,300,8.7,1,Positive,1,FA_A
G3,Plate 1_G4,200 bp to 1000 bp,18.6466,96.6,64.2181,478,33.2,300,8.7,1,Positive,1,FA_A
