Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,Plate,Type,Concentration,FA_plate
A10,Plate 3_A3,35 bp to 100 bp,0.0026,1.3,0.0696,61,30.08,300,7.4,3,Positive,0.1,FA_A
A10,Plate 3_A3,100 bp to 200 bp,0.0009,0.5,0.0105,144,23.34,300,7.4,3,Positive,0.1,FA_A
A10,Plate 3_A3,200 bp to 1000 bp,0.1864,91.3,0.7278,421,35.07,300,7.4,3,Positive,0.1,FA_A
B10,Plate 3_B3,35 bp to 100 bp,0.0181,0.5,0.4438,67,28.99,300,8.4,3,Positive,0.1,FA_A
B10,Plate 3_B3,100 bp to 200 bp,0.0206,0.6,0.1995,170,21.03,300,8.4,3,Positive,0.1,FA_A
B10,Plate 3_B3,200 bp to 1000 bp,3.5233,96.5,12.4087,467,34.04,300,8.4,3,Positive,0.1,FA_A
C10,Plate 3_C3,35 bp to 100 bp,0.0159,10.1,0.4191,62,29.87,300,5.8,3,Negative,0.1,FA_A
C10,Plate 3_C3,100 bp to 200 bp,0.0081,5.1,0.0955,139,19.74,300,5.8,3,Negative,0.1,FA_A
C10,Plate 3_C3,200 bp to 1000 bp,0.1154,73,0.4694,404,33.98,300,5.8,3,Negative,0.1,FA_A
D10,Plate 3_D3,35 bp to 100 bp,0.0133,0.4,0.3029,72,27.7,300,8.5,3,Positive,0.1,FA_A
D10,Plate 3_D3,100 bp to 200 bp,0.0229,0.7,0.2413,156,20.55,300,8.5,3,Positive,0.1,FA_A
D10,Plate 3_D3,200 bp to 1000 bp,3.1808,97.1,11.4313,458,34.05,300,8.5,3,Positive,0.1,FA_A
E10,Plate 3_E3,35 bp to 100 bp,0.0193,0.2,0.4572,69,32.59,300,8.8,3,Positive,0.1,FA_A
E10,Plate 3_E3,100 bp to 200 bp,0.0209,0.3,0.2129,161,19.54,300,8.8,3,Positive,0.1,FA_A
E10,Plate 3_E3,200 bp to 1000 bp,7.9036,98.4,29.3079,444,29.98,300,8.8,3,Positive,0.1,FA_A
F10,Plate 3_F3,35 bp to 100 bp,0.0997,25,2.0577,79,23.15,300,5.1,3,Negative,0.1,FA_A
F10,Plate 3_F3,100 bp to 200 bp,0.0211,5.3,0.2599,134,17.93,300,5.1,3,Negative,0.1,FA_A
F10,Plate 3_F3,200 bp to 1000 bp,0.2494,62.4,1.0134,405,29.58,300,5.1,3,Negative,0.1,FA_A
G10,Plate 3_G3,35 bp to 100 bp,0.0151,0.5,0.4072,61,31.01,300,8.3,3,Positive,0.1,FA_A
G10,Plate 3_G3,100 bp to 200 bp,0.0142,0.5,0.1434,163,19.5,300,8.3,3,Positive,0.1,FA_A
G10,Plate 3_G3,200 bp to 1000 bp,2.9496,96.6,10.4441,465,34.95,300,8.3,3,Positive,0.1,FA_A
H10,Plate 3_H3,35 bp to 100 bp,0.0164,0.7,0.3972,68,27.63,300,7.6,3,Positive,0.1,FA_A
H10,Plate 3_H3,100 bp to 200 bp,0.0575,2.5,0.6568,144,19.43,300,7.6,3,Positive,0.1,FA_A
H10,Plate 3_H3,200 bp to 1000 bp,2.2107,94.6,8.3075,438,36.45,300,7.6,3,Positive,0.1,FA_A
A11,Plate 3_A4,35 bp to 100 bp,0.0203,0.1,0.6234,53,36.23,300,8.8,3,Positive,1,FA_A
A11,Plate 3_A4,100 bp to 200 bp,0.0489,0.2,0.4662,172,15.13,300,8.8,3,Positive,1,FA_A
A11,Plate 3_A4,200 bp to 1000 bp,29.8916,98.2,115.9974,424,30.48,300,8.8,3,Positive,1,FA_A
B11,Plate 3_B4,35 bp to 100 bp,0.0453,0.2,1.2453,60,33.75,300,8.5,3,Positive,1,FA_A
B11,Plate 3_B4,100 bp to 200 bp,0.0847,0.3,0.8082,172,15.74,300,8.5,3,Positive,1,FA_A
B11,Plate 3_B4,200 bp to 1000 bp,25.5932,97,99.8316,422,32.68,300,8.5,3,Positive,1,FA_A
C11,Plate 3_C4,35 bp to 100 bp,0.0458,0.2,1.1875,63,30.71,300,8.4,3,Positive,1,FA_A
C11,Plate 3_C4,100 bp to 200 bp,0.1577,0.7,1.545,168,14.32,300,8.4,3,Positive,1,FA_A
C11,Plate 3_C4,200 bp to 1000 bp,23.3957,97.7,93.2563,413,30.39,300,8.4,3,Positive,1,FA_A
D11,Plate 3_D4,35 bp to 100 bp,0.0387,0.2,0.9925,64,32.38,300,8.5,3,Positive,1,FA_A
D11,Plate 3_D4,100 bp to 200 bp,0.1975,0.8,2.0061,162,14.04,300,8.5,3,Positive,1,FA_A
D11,Plate 3_D4,200 bp to 1000 bp,23.227,97.2,94.11,406,26.84,300,8.5,3,Positive,1,FA_A
E11,Plate 3_E4,35 bp to 100 bp,0.0347,16.2,0.8228,69,29.13,300,4.8,3,Negative,1,FA_A
E11,Plate 3_E4,100 bp to 200 bp,0.0186,8.7,0.2198,139,18.5,300,4.8,3,Negative,1,FA_A
E11,Plate 3_E4,200 bp to 1000 bp,0.1397,65.5,0.6161,373,29.32,300,4.8,3,Negative,1,FA_A
F11,Plate 3_F4,35 bp to 100 bp,0.0541,0.2,1.4357,62,30.12,300,9.3,3,Positive,1,FA_A
F11,Plate 3_F4,100 bp to 200 bp,0.1395,0.5,1.4118,162,18.18,300,9.3,3,Positive,1,FA_A
F11,Plate 3_F4,200 bp to 1000 bp,27.3253,98.2,97.1687,463,25.93,300,9.3,3,Positive,1,FA_A
G11,Plate 3_G4,35 bp to 100 bp,0.0471,0.1,1.321,58,31.34,300,8.1,3,Positive,1,FA_A
G11,Plate 3_G4,100 bp to 200 bp,0.2376,0.7,2.2967,170,13.33,300,8.1,3,Positive,1,FA_A
G11,Plate 3_G4,200 bp to 1000 bp,34.5024,98.7,141.8583,400,30.59,300,8.1,3,Positive,1,FA_A
H11,Plate 3_H4,35 bp to 100 bp,0.0585,0.2,1.6292,59,31.81,300,8.6,3,Positive,1,FA_A
H11,Plate 3_H4,100 bp to 200 bp,0.2175,0.7,2.1069,170,13.92,300,8.6,3,Positive,1,FA_A
H11,Plate 3_H4,200 bp to 1000 bp,29.7225,98.3,116.1129,421,29.5,300,8.6,3,Positive,1,FA_A
A12,Plate 3_A5,35 bp to 100 bp,0.0371,1.3,0.8094,75,27.06,300,7,3,Positive,0.1,FA_A
A12,Plate 3_A5,100 bp to 200 bp,0.055,1.9,0.6222,145,22.13,300,7,3,Positive,0.1,FA_A
A12,Plate 3_A5,200 bp to 1000 bp,2.7037,94.8,10.4155,427,38.11,300,7,3,Positive,0.1,FA_A
B12,Plate 3_B5,35 bp to 100 bp,0.0463,15.1,1.0179,75,26.29,300,4.6,3,Negative,0.1,FA_A
B12,Plate 3_B5,100 bp to 200 bp,0.0378,12.3,0.5039,123,19.86,300,4.6,3,Negative,0.1,FA_A
B12,Plate 3_B5,200 bp to 1000 bp,0.194,63.1,0.8462,377,30.73,300,4.6,3,Negative,0.1,FA_A
C12,Plate 3_C5,35 bp to 100 bp,0.0295,0.9,0.6879,70,25.41,300,7.3,3,Positive,0.1,FA_A
C12,Plate 3_C5,100 bp to 200 bp,0.0727,2.3,0.7835,152,22.54,300,7.3,3,Positive,0.1,FA_A
C12,Plate 3_C5,200 bp to 1000 bp,3.0274,94.9,11.3473,439,37.77,300,7.3,3,Positive,0.1,FA_A
D12,Plate 3_D5,35 bp to 100 bp,0.0244,0.5,0.5171,77,25.01,300,7.5,3,Positive,0.1,FA_A
D12,Plate 3_D5,100 bp to 200 bp,0.057,1.1,0.5971,157,22.95,300,7.5,3,Positive,0.1,FA_A
D12,Plate 3_D5,200 bp to 1000 bp,4.9842,96.7,18.5113,443,37.34,300,7.5,3,Positive,0.1,FA_A
E12,Plate 3_E5,35 bp to 100 bp,0.0196,0.4,0.4829,67,31.95,300,4,3,Positive,0.1,FA_A
E12,Plate 3_E5,100 bp to 200 bp,0.2367,4.5,2.2022,177,14.96,300,4,3,Positive,0.1,FA_A
E12,Plate 3_E5,200 bp to 1000 bp,4.9389,94.8,25.8205,315,31.17,300,4,3,Positive,0.1,FA_A
F12,Plate 3_F5,35 bp to 100 bp,0.0196,0.4,0.522,62,30.44,300,6.6,3,Positive,0.1,FA_A
F12,Plate 3_F5,100 bp to 200 bp,0.0805,1.5,0.8088,164,18.11,300,6.6,3,Positive,0.1,FA_A
F12,Plate 3_F5,200 bp to 1000 bp,5.0998,96.6,20.8563,402,38.91,300,6.6,3,Positive,0.1,FA_A
G12,Plate 3_H5,35 bp to 100 bp,0.0493,0.9,1.1142,73,31.4,300,6.9,3,Positive,0.1,FA_A
G12,Plate 3_H5,100 bp to 200 bp,0.0663,1.2,0.7064,154,23.7,300,6.9,3,Positive,0.1,FA_A
G12,Plate 3_H5,200 bp to 1000 bp,5.3672,96.5,21.3116,414,38.3,300,6.9,3,Positive,0.1,FA_A
A1,Plate 1_A7,35 bp to 100 bp,0.0009,1.2,0.0259,54,19.24,300,4.2,1,Positive,0.01,FA_B
A1,Plate 1_A7,100 bp to 200 bp,0.0044,6.4,0.0527,138,9.54,300,4.2,1,Positive,0.01,FA_B
A1,Plate 1_A7,200 bp to 1000 bp,0.0536,77.4,0.2706,326,25.37,300,4.2,1,Positive,0.01,FA_B
B1,Plate 1_B7,35 bp to 100 bp,0.0172,12.1,0.4489,63,29,300,3.8,1,Positive,0.01,FA_B
B1,Plate 1_B7,100 bp to 200 bp,0.0278,19.6,0.3318,138,12.94,300,3.8,1,Positive,0.01,FA_B
B1,Plate 1_B7,200 bp to 1000 bp,0.0854,60.2,0.3983,353,28.39,300,3.8,1,Positive,0.01,FA_B
C1,Plate 1_C7,35 bp to 100 bp,0.0218,18.4,0.5109,70,29.5,300,2.9,1,Negative,0.01,FA_B
C1,Plate 1_C7,100 bp to 200 bp,0.0324,27.3,0.4319,123,16.8,300,2.9,1,Negative,0.01,FA_B
C1,Plate 1_C7,200 bp to 1000 bp,0.0509,42.8,0.2262,370,30.31,300,2.9,1,Negative,0.01,FA_B
D1,Plate 1_D7,35 bp to 100 bp,0.0211,7.2,0.518,67,33.01,300,4.7,1,Positive,0.01,FA_B
D1,Plate 1_D7,100 bp to 200 bp,0.0407,14,0.5098,131,17.83,300,4.7,1,Positive,0.01,FA_B
D1,Plate 1_D7,200 bp to 1000 bp,0.2149,73.9,0.9633,367,32.35,300,4.7,1,Positive,0.01,FA_B
E1,Plate 1_E7,35 bp to 100 bp,0.0175,5.6,0.4366,66,27.14,300,5.8,1,Positive,0.01,FA_B
E1,Plate 1_E7,100 bp to 200 bp,0.0198,6.3,0.2448,133,22.3,300,5.8,1,Positive,0.01,FA_B
E1,Plate 1_E7,200 bp to 1000 bp,0.2621,83.8,1.1346,380,32.75,300,5.8,1,Positive,0.01,FA_B
F1,Plate 1_F7,35 bp to 100 bp,0.0127,9.1,0.329,63,30.43,300,4.8,1,Negative,0.01,FA_B
F1,Plate 1_F7,100 bp to 200 bp,0.0154,11,0.1708,149,18.21,300,4.8,1,Negative,0.01,FA_B
F1,Plate 1_F7,200 bp to 1000 bp,0.0987,70.6,0.4375,371,32.28,300,4.8,1,Negative,0.01,FA_B
G1,Plate 1_G7,35 bp to 100 bp,0.0144,7.6,0.3831,62,29.42,300,6.2,1,Positive,0.01,FA_B
G1,Plate 1_G7,100 bp to 200 bp,0.0083,4.4,0.0943,145,21.17,300,6.2,1,Positive,0.01,FA_B
G1,Plate 1_G7,200 bp to 1000 bp,0.1521,80.3,0.6291,398,30.15,300,6.2,1,Positive,0.01,FA_B
H1,Plate 1_H7,35 bp to 100 bp,0.0097,7.2,0.2526,63,32,300,5.6,1,Positive,0.01,FA_B
H1,Plate 1_H7,100 bp to 200 bp,0.0088,6.5,0.1082,134,21.47,300,5.6,1,Positive,0.01,FA_B
H1,Plate 1_H7,200 bp to 1000 bp,0.1054,78.1,0.4597,377,28.99,300,5.6,1,Positive,0.01,FA_B
A2,Plate 1_A8,35 bp to 100 bp,0.0092,0.6,0.2704,56,28.6,300,8.5,1,Positive,0.1,FA_B
A2,Plate 1_A8,100 bp to 200 bp,0.0064,0.4,0.0676,156,20.56,300,8.5,1,Positive,0.1,FA_B
A2,Plate 1_A8,200 bp to 1000 bp,1.4308,96.4,5.0797,463,33.83,300,8.5,1,Positive,0.1,FA_B
B2,Plate 1_B8,35 bp to 100 bp,0.0121,0.7,0.3357,59,27.09,300,8.7,1,Positive,0.1,FA_B
B2,Plate 1_B8,100 bp to 200 bp,0.0052,0.3,0.0612,141,22.85,300,8.7,1,Positive,0.1,FA_B
B2,Plate 1_B8,200 bp to 1000 bp,1.7342,96.8,5.9999,476,32.65,300,8.7,1,Positive,0.1,FA_B
C2,Plate 1_C8,35 bp to 100 bp,0.0132,0.6,0.3319,65,30.24,300,7.8,1,Positive,0.1,FA_B
C2,Plate 1_C8,100 bp to 200 bp,0.0286,1.4,0.3212,146,22.94,300,7.8,1,Positive,0.1,FA_B
C2,Plate 1_C8,200 bp to 1000 bp,1.9864,95.9,7.2099,453,36.72,300,7.8,1,Positive,0.1,FA_B
D2,Plate 1_D8,35 bp to 100 bp,0.0238,12.9,0.5928,66,29.95,300,3.7,1,Negative,0.1,FA_B
D2,Plate 1_D8,100 bp to 200 bp,0.0233,12.6,0.3049,126,22.59,300,3.7,1,Negative,0.1,FA_B
D2,Plate 1_D8,200 bp to 1000 bp,0.1238,66.8,0.6024,338,29.17,300,3.7,1,Negative,0.1,FA_B
E2,Plate 1_E8,35 bp to 100 bp,0.0133,0.8,0.3628,60,29.72,300,8.1,1,Positive,0.1,FA_B
E2,Plate 1_E8,100 bp to 200 bp,0.013,0.7,0.1363,157,20.81,300,8.1,1,Positive,0.1,FA_B
E2,Plate 1_E8,200 bp to 1000 bp,1.6928,96.6,6.2485,446,34.41,300,8.1,1,Positive,0.1,FA_B
F2,Plate 1_F8,35 bp to 100 bp,0.0739,4,1.67,73,21.29,300,7.3,1,Positive,0.1,FA_B
F2,Plate 1_F8,100 bp to 200 bp,0.0231,1.3,0.2522,151,20.64,300,7.3,1,Positive,0.1,FA_B
F2,Plate 1_F8,200 bp to 1000 bp,1.7079,92.7,6.3964,439,37.06,300,7.3,1,Positive,0.1,FA_B
G2,Plate 1_G8,35 bp to 100 bp,0.0181,0.8,0.5086,58,32.07,300,8.9,1,Positive,0.1,FA_B
G2,Plate 1_G8,100 bp to 200 bp,0.0139,0.6,0.1484,154,20.11,300,8.9,1,Positive,0.1,FA_B
G2,Plate 1_G8,200 bp to 1000 bp,2.1971,96.5,7.5591,478,31.92,300,8.9,1,Positive,0.1,FA_B
H2,Plate 1_H8,35 bp to 100 bp,0.0196,7.8,0.4895,66,30.41,300,5.3,1,Negative,0.1,FA_B
H2,Plate 1_H8,100 bp to 200 bp,0.0237,9.4,0.2861,136,21.43,300,5.3,1,Negative,0.1,FA_B
H2,Plate 1_H8,200 bp to 1000 bp,0.1929,76.4,0.8505,373,28.79,300,5.3,1,Negative,0.1,FA_B
A3,Plate 1_A9,35 bp to 100 bp,0.01,0.1,0.297,55,32.31,300,7.4,1,Positive,1,FA_B
A3,Plate 1_A9,100 bp to 200 bp,0.0692,0.4,0.7065,161,14.3,300,7.4,1,Positive,1,FA_B
A3,Plate 1_A9,200 bp to 1000 bp,16.5933,98.7,68.5617,398,34.59,300,7.4,1,Positive,1,FA_B
B3,Plate 1_B9,35 bp to 100 bp,0.0191,23.8,0.4528,69,28.7,300,2.6,1,Negative,1,FA_B
B3,Plate 1_B9,100 bp to 200 bp,0.01,12.4,0.1193,137,21.04,300,2.6,1,Negative,1,FA_B
B3,Plate 1_B9,200 bp to 1000 bp,0.0349,43.5,0.1783,322,25.33,300,2.6,1,Negative,1,FA_B
C3,Plate 1_C9,35 bp to 100 bp,0.0246,0.1,0.6271,64,31.67,300,8.4,1,Positive,1,FA_B
C3,Plate 1_C9,100 bp to 200 bp,0.0437,0.2,0.4576,157,19.13,300,8.4,1,Positive,1,FA_B
C3,Plate 1_C9,200 bp to 1000 bp,26.5709,98.5,99.0794,441,33.28,300,8.4,1,Positive,1,FA_B
D3,Plate 1_D9,35 bp to 100 bp,0.0265,0.1,0.696,62,34.12,300,7.7,1,Positive,1,FA_B
D3,Plate 1_D9,100 bp to 200 bp,0.0521,0.2,0.5281,162,17.92,300,7.7,1,Positive,1,FA_B
D3,Plate 1_D9,200 bp to 1000 bp,25.5706,98.7,103.4857,407,34.36,300,7.7,1,Positive,1,FA_B
E3,Plate 1_E9,35 bp to 100 bp,0.0256,0.1,0.6782,62,33.22,300,8.1,1,Positive,1,FA_B
E3,Plate 1_E9,100 bp to 200 bp,0.0508,0.2,0.5287,158,20.1,300,8.1,1,Positive,1,FA_B
E3,Plate 1_E9,200 bp to 1000 bp,22.0794,98.6,85.6557,424,33.77,300,8.1,1,Positive,1,FA_B
F3,Plate 1_F9,35 bp to 100 bp,0.0274,0.1,0.6996,64,33.14,300,8.1,1,Positive,1,FA_B
F3,Plate 1_F9,100 bp to 200 bp,0.0531,0.3,0.572,152,21.79,300,8.1,1,Positive,1,FA_B
F3,Plate 1_F9,200 bp to 1000 bp,20.7049,98.4,79.443,429,34.35,300,8.1,1,Positive,1,FA_B
G3,Plate 1_G9,35 bp to 100 bp,0.0936,1,1.83,84,16.69,300,7.6,1,Positive,1,FA_B
G3,Plate 1_G9,100 bp to 200 bp,0.3148,3.3,4.2063,123,22.59,300,7.6,1,Positive,1,FA_B
G3,Plate 1_G9,200 bp to 1000 bp,9.0373,94.7,34.3147,433,34.41,300,7.6,1,Positive,1,FA_B
H3,Plate 1_H9,35 bp to 100 bp,0.0169,0.1,0.4464,62,31.7,300,8.9,1,Positive,1,FA_B
H3,Plate 1_H9,100 bp to 200 bp,0.026,0.1,0.2675,160,19.51,300,8.9,1,Positive,1,FA_B
H3,Plate 1_H9,200 bp to 1000 bp,20.982,98.1,72.6591,475,31.84,300,8.9,1,Positive,1,FA_B
A4,Plate 1_A10,35 bp to 100 bp,0.0142,0.8,0.3712,63,30.12,300,8.1,1,Positive,0.1,FA_B
A4,Plate 1_A10,100 bp to 200 bp,0.019,1.1,0.2052,153,20.71,300,8.1,1,Positive,0.1,FA_B
A4,Plate 1_A10,200 bp to 1000 bp,1.6083,96.5,5.8418,453,34.38,300,8.1,1,Positive,0.1,FA_B
B4,Plate 1_B10,35 bp to 100 bp,0.0173,0.7,0.3862,73,29.36,300,6.8,1,Positive,0.1,FA_B
B4,Plate 1_B10,100 bp to 200 bp,0.0692,2.9,0.8411,135,25.4,300,6.8,1,Positive,0.1,FA_B
B4,Plate 1_B10,200 bp to 1000 bp,2.2522,94.8,8.758,423,39.04,300,6.8,1,Positive,0.1,FA_B
C4,Plate 1_C10,35 bp to 100 bp,0.0149,0.9,0.3544,69,29.38,300,7.5,1,Positive,0.1,FA_B
C4,Plate 1_C10,100 bp to 200 bp,0.0791,4.7,0.8941,145,17.66,300,7.5,1,Positive,0.1,FA_B
C4,Plate 1_C10,200 bp to 1000 bp,1.571,92.6,5.836,443,36.21,300,7.5,1,Positive,0.1,FA_B
D4,Plate 1_D10,35 bp to 100 bp,0.0096,10.7,0.2365,67,30.24,300,3.5,1,Negative,0.1,FA_B
D4,Plate 1_D10,100 bp to 200 bp,0.0145,16.2,0.191,124,15.67,300,3.5,1,Negative,0.1,FA_B
D4,Plate 1_D10,200 bp to 1000 bp,0.0562,62.8,0.2809,329,24.56,300,3.5,1,Negative,0.1,FA_B
E4,Plate 1_E10,35 bp to 100 bp,0.0169,0.7,0.4006,69,31.66,300,8,1,Positive,0.1,FA_B
E4,Plate 1_E10,100 bp to 200 bp,0.0174,0.7,0.1815,157,19.86,300,8,1,Positive,0.1,FA_B
E4,Plate 1_E10,200 bp to 1000 bp,2.3117,96.5,8.3823,454,35.68,300,8,1,Positive,0.1,FA_B
F4,Plate 1_F10,35 bp to 100 bp,0.0116,0.6,0.2931,65,29.4,300,7.4,1,Positive,0.1,FA_B
F4,Plate 1_F10,100 bp to 200 bp,0.0202,1,0.2039,163,19.68,300,7.4,1,Positive,0.1,FA_B
F4,Plate 1_F10,200 bp to 1000 bp,2.0002,96.5,7.4815,440,37.61,300,7.4,1,Positive,0.1,FA_B
G4,Plate 1_G10,35 bp to 100 bp,0.0081,13,0.2258,59,32.69,300,3.4,1,Negative,0.1,FA_B
G4,Plate 1_G10,100 bp to 200 bp,0.0037,5.9,0.0443,137,17.27,300,3.4,1,Negative,0.1,FA_B
G4,Plate 1_G10,200 bp to 1000 bp,0.0369,58.9,0.1837,331,24.13,300,3.4,1,Negative,0.1,FA_B
H4,Plate 1_H10,35 bp to 100 bp,0.013,0.6,0.3307,65,29.53,300,7.8,1,Positive,0.1,FA_B
H4,Plate 1_H10,100 bp to 200 bp,0.0317,1.6,0.3368,155,21.31,300,7.8,1,Positive,0.1,FA_B
H4,Plate 1_H10,200 bp to 1000 bp,1.9535,96.1,7.2334,444,36.21,300,7.8,1,Positive,0.1,FA_B
A5,Plate 2_A7,35 bp to 100 bp,0.0312,11.9,0.6921,74,23.51,300,3.9,2,Positive,0.01,FA_B
A5,Plate 2_A7,100 bp to 200 bp,0.0241,9.2,0.3168,125,23.89,300,3.9,2,Positive,0.01,FA_B
A5,Plate 2_A7,200 bp to 1000 bp,0.1926,73.4,0.8961,354,36.98,300,3.9,2,Positive,0.01,FA_B
B5,Plate 2_B7,35 bp to 100 bp,0.1131,38.1,2.2237,83,16.73,300,1.6,2,Positive,0.01,FA_B
B5,Plate 2_B7,100 bp to 200 bp,0.0904,30.4,1.351,110,14.78,300,1.6,2,Positive,0.01,FA_B
B5,Plate 2_B7,200 bp to 1000 bp,0.0838,28.2,0.3956,348,34.85,300,1.6,2,Positive,0.01,FA_B
C5,Plate 2_C7,35 bp to 100 bp,0.0514,25.3,1.0683,79,22.29,300,1.9,2,Negative,0.01,FA_B
C5,Plate 2_C7,100 bp to 200 bp,0.0669,33,0.8825,124,17.7,300,1.9,2,Negative,0.01,FA_B
C5,Plate 2_C7,200 bp to 1000 bp,0.0677,33.4,0.3274,340,30.34,300,1.9,2,Negative,0.01,FA_B
D5,Plate 2_D7,35 bp to 100 bp,0.0328,6.2,0.7436,72,27.29,300,5.8,2,Positive,0.01,FA_B
D5,Plate 2_D7,100 bp to 200 bp,0.0453,8.5,0.5622,133,21.72,300,5.8,2,Positive,0.01,FA_B
D5,Plate 2_D7,200 bp to 1000 bp,0.4357,82,1.7872,401,36.4,300,5.8,2,Positive,0.01,FA_B
E5,Plate 2_E7,35 bp to 100 bp,0.023,5.4,0.5514,68,25.79,300,5,2,Positive,0.01,FA_B
E5,Plate 2_E7,100 bp to 200 bp,0.0238,5.5,0.2871,136,25.3,300,5,2,Positive,0.01,FA_B
E5,Plate 2_E7,200 bp to 1000 bp,0.3622,84.5,1.6962,351,33.09,300,5,2,Positive,0.01,FA_B
F5,Plate 2_F7,35 bp to 100 bp,0.0421,25.2,0.9249,75,24.04,300,3.6,2,Negative,0.01,FA_B
F5,Plate 2_F7,100 bp to 200 bp,0.0162,9.8,0.1998,134,20.63,300,3.6,2,Negative,0.01,FA_B
F5,Plate 2_F7,200 bp to 1000 bp,0.0924,55.5,0.4282,355,29.88,300,3.6,2,Negative,0.01,FA_B
G5,Plate 2_G7,35 bp to 100 bp,0.0177,6.3,0.4371,66,29.04,300,4.4,2,Positive,0.01,FA_B
G5,Plate 2_G7,100 bp to 200 bp,0.0194,6.9,0.2207,145,24.98,300,4.4,2,Positive,0.01,FA_B
G5,Plate 2_G7,200 bp to 1000 bp,0.2314,82,1.1007,346,33.03,300,4.4,2,Positive,0.01,FA_B
H5,Plate 2_H7,35 bp to 100 bp,0.007,1.9,0.1979,58,31.08,300,5.6,2,Positive,0.01,FA_B
H5,Plate 2_H7,100 bp to 200 bp,0.0086,2.3,0.0834,169,19.82,300,5.6,2,Positive,0.01,FA_B
H5,Plate 2_H7,200 bp to 1000 bp,0.341,92.2,1.567,358,33.58,300,5.6,2,Positive,0.01,FA_B
A6,Plate 2_A8,35 bp to 100 bp,0.029,1.9,0.6394,74,22.26,300,6.4,2,Positive,0.1,FA_B
A6,Plate 2_A8,100 bp to 200 bp,0.035,2.3,0.4568,126,28,300,6.4,2,Positive,0.1,FA_B
A6,Plate 2_A8,200 bp to 1000 bp,1.4627,94.3,5.9362,405,39.31,300,6.4,2,Positive,0.1,FA_B
B6,Plate 2_B8,35 bp to 100 bp,0.0494,3.6,1.0408,78,21.99,300,5.9,2,Positive,0.1,FA_B
B6,Plate 2_B8,100 bp to 200 bp,0.0541,4,0.7311,122,27.07,300,5.9,2,Positive,0.1,FA_B
B6,Plate 2_B8,200 bp to 1000 bp,1.2422,90.8,5.2814,387,38.68,300,5.9,2,Positive,0.1,FA_B
C6,Plate 2_C8,35 bp to 100 bp,0.0302,1.8,0.6437,77,21.07,300,6.6,2,Positive,0.1,FA_B
C6,Plate 2_C8,100 bp to 200 bp,0.0637,3.8,0.8195,128,24.88,300,6.6,2,Positive,0.1,FA_B
C6,Plate 2_C8,200 bp to 1000 bp,1.5647,92.8,6.1505,419,38.98,300,6.6,2,Positive,0.1,FA_B
D6,Plate 2_D8,35 bp to 100 bp,0.017,8.6,0.4193,67,28.05,300,4.3,2,Negative,0.1,FA_B
D6,Plate 2_D8,100 bp to 200 bp,0.0196,9.9,0.2147,150,22.25,300,4.3,2,Negative,0.1,FA_B
D6,Plate 2_D8,200 bp to 1000 bp,0.1494,75.4,0.7199,341,28.96,300,4.3,2,Negative,0.1,FA_B
E6,Plate 2_E8,35 bp to 100 bp,0.0182,0.5,0.4304,69,25.86,300,7.2,2,Positive,0.1,FA_B
E6,Plate 2_E8,100 bp to 200 bp,0.0308,0.8,0.3165,160,21.77,300,7.2,2,Positive,0.1,FA_B
E6,Plate 2_E8,200 bp to 1000 bp,3.7876,97.8,15.4141,404,35.23,300,7.2,2,Positive,0.1,FA_B
F6,Plate 2_F8,35 bp to 100 bp,0.1034,2.4,2.22,76,17.38,300,5.8,2,Positive,0.1,FA_B
F6,Plate 2_F8,100 bp to 200 bp,0.1129,2.7,1.1191,166,19.74,300,5.8,2,Positive,0.1,FA_B
F6,Plate 2_F8,200 bp to 1000 bp,4.0194,94.4,18.6816,354,33.07,300,5.8,2,Positive,0.1,FA_B
G6,Plate 2_G8,35 bp to 100 bp,0.0126,0.4,0.3248,64,30.54,300,2.9,2,Positive,0.1,FA_B
G6,Plate 2_G8,100 bp to 200 bp,0.1724,4.9,1.518,187,8.17,300,2.9,2,Positive,0.1,FA_B
G6,Plate 2_G8,200 bp to 1000 bp,3.3417,94.6,18.807,292,27.77,300,2.9,2,Positive,0.1,FA_B
H6,Plate 2_H8,35 bp to 100 bp,0.0154,9,0.3693,68,28.48,300,4.1,2,Negative,0.1,FA_B
H6,Plate 2_H8,100 bp to 200 bp,0.0176,10.3,0.1966,147,23.37,300,4.1,2,Negative,0.1,FA_B
H6,Plate 2_H8,200 bp to 1000 bp,0.1279,74.5,0.6193,340,31.56,300,4.1,2,Negative,0.1,FA_B
A7,Plate 2_A9,35 bp to 100 bp,0.0437,0.3,0.9737,74,24.71,300,7.4,2,Positive,1,FA_B
A7,Plate 2_A9,100 bp to 200 bp,0.0893,0.6,0.9865,149,24.49,300,7.4,2,Positive,1,FA_B
A7,Plate 2_A9,200 bp to 1000 bp,13.7149,98.2,57.1929,395,34.16,300,7.4,2,Positive,1,FA_B
B7,Plate 2_B9,35 bp to 100 bp,0.0644,55.1,1.2812,83,20.11,300,0.9,2,Negative,1,FA_B
B7,Plate 2_B9,100 bp to 200 bp,0.0297,25.4,0.452,108,14.59,300,0.9,2,Negative,1,FA_B
B7,Plate 2_B9,200 bp to 1000 bp,0.0185,15.8,0.1006,302,23.19,300,0.9,2,Negative,1,FA_B
