microsample,cryosection,type,cov_filtering,Xcoord,Ycoord,pixel_x,pixel_y
M306758,G121eO306A,positive,Retained By Filtering,39759.71,16855.25,344.77,393.74
M306854,G121eO306A,positive,Retained By Filtering,40032.72,16853.17,369.7,393.55
M306855,G121eO306A,positive,Retained By Filtering,40203.18,17202.7,385.27,425.27
M306856,G121eO306A,positive,Retained By Filtering,40136.09,17443.68,379.14,447.14
M306858,G121eO306A,positive,Retained By Filtering,40077.52,17689.66,373.79,469.46
M306859,G121eO306A,positive,Retained By Filtering,39668.63,17707.81,336.46,471.11
M306860,G121eO306A,positive,Retained By Filtering,39781.19,17974.34,346.73,495.3
M306861,G121eO306A,positive,Retained By Filtering,41772.93,18180.55,528.61,514.01
M306862,G121eO306A,positive,Retained By Filtering,41659.1,18508.19,518.22,543.74
M306863,G121eO306A,positive,Retained By Filtering,41763.31,18883.29,527.73,577.78
M306864,G121eO306A,positive,Retained By Filtering,41668.5,19312.89,519.08,616.77
M306866,G121eO306A,positive,Retained By Filtering,41232.95,19570.39,479.3,640.14
M306867,G121eO306A,positive,Retained By Filtering,41304.75,19829.4,485.86,663.64
M306868,G121eO306A,positive,Retained By Filtering,40713.65,19686.97,431.88,650.71
M306869,G121eO306A,positive,Retained By Filtering,41029.04,19868.71,460.68,667.21
M306871,G121eO306A,positive,Retained By Filtering,42172.32,19862.77,565.08,666.67
M306872,G121eO306A,positive,Retained By Filtering,42803.58,20889.37,622.73,759.83
M306873,G121eO306A,positive,Retained By Filtering,42884.16,21218.29,630.09,789.68
M306874,G121eO306A,positive,Retained By Filtering,43104.2,20619.92,650.18,735.38
M306875,G121eO306A,positive,Retained By Filtering,42660.82,20609.46,609.69,734.43
M306876,G121eO306A,positive,Retained By Filtering,40976.89,20117.07,455.92,689.75
M306877,G121eO306A,positive,Retained By Filtering,40848.98,19313.03,444.24,616.78
M306878,G121eO306A,positive,Retained By Filtering,40550.36,19004.69,416.97,588.8
M306879,G121eO306A,positive,Retained By Filtering,41206.02,18900.51,476.84,579.35
M306880,G121eO306A,positive,Retained By Filtering,41309.45,18615.97,486.29,553.52
M306881,G121eO306A,positive,Retained By Filtering,40889.22,18564.6,447.92,548.86
M306882,G121eO306A,positive,Retained By Filtering,40557.94,18489.72,417.66,542.07
M306884,G121eO306A,positive,Retained By Filtering,40246.97,18462.99,389.27,539.64
M306885,G121eO306A,positive,Retained By Filtering,40238.19,18077.01,388.47,504.61
M306886,G121eO306A,positive,Retained By Filtering,39880.9,18265.51,355.84,521.72
M306887,G121eO306A,positive,Retained By Filtering,39368.01,19047.91,309,592.72
M306888,G121eO306A,positive,Retained By Filtering,39757.4,19875,344.56,667.78
M306890,G121eO306A,positive,Retained By Filtering,39614.67,20103.27,331.53,688.49
M306891,G121eO306A,positive,Retained By Filtering,40440.24,20022.19,406.92,681.13
M306892,G121eO306A,positive,Retained By Filtering,40300.71,20270.6,394.18,703.68
M306893,G121eO306A,positive,Retained By Filtering,41510.93,17010.39,504.69,407.82
M306894,G121eO306A,positive,Retained By Filtering,41594.13,16787.89,512.29,387.63
M306895,G121eO306A,positive,Retained By Filtering,41574.76,16573.93,510.52,368.21
M306896,G121eO306A,positive,Retained By Filtering,41557.87,16237.18,508.97,337.65
M306897,G121eO306A,positive,Retained By Filtering,42053.67,16105.17,554.25,325.67
M306898,G121eO306A,positive,Retained By Filtering,42574.03,16435.83,601.77,355.68
M306900,G121eO306A,positive,Retained By Filtering,42727.78,16640.07,615.81,374.22
M306949,G121eO306A,positive,Retained By Filtering,40126.72,15267.08,384.85,250.31
M306950,G121eO306A,positive,Retained By Filtering,40363.37,14972.56,407.01,222.58
M306951,G121eO306A,positive,Retained By Filtering,40275.51,14879.02,398.78,213.77
M306953,G121eO306A,positive,Retained By Filtering,40780.41,15066.11,446.07,231.39
M306954,G121eO306A,positive,Retained By Filtering,41037.15,15184.66,470.12,242.55
M306955,G121eO306A,positive,Retained By Filtering,40958.71,15429.8,462.78,265.64
M306956,G121eO306A,positive,Retained By Filtering,40672.22,15687.51,435.94,289.9
M306957,G121eO306A,positive,Retained By Filtering,40414.64,15187.61,411.81,242.83
M306958,G121eO306A,positive,Retained By Filtering,40384.78,15550.24,409.02,276.98
M306959,G121eO306A,positive,Retained By Filtering,40310.86,15928.54,402.09,312.6
M306960,G121eO306A,positive,Retained By Filtering,39945.21,15968.34,367.84,316.35
M306961,G121eO306A,positive,Retained By Filtering,39997.48,16270.21,372.74,344.77
M306962,G121eO306A,positive,Retained By Filtering,39733.13,16459.66,347.98,362.61
M306964,G121eO306A,positive,Retained By Filtering,39782.76,16707.17,352.63,385.92
M306965,G121eO306A,positive,Retained By Filtering,40620.73,16659.28,431.12,381.41
M306966,G121eO306A,positive,Retained By Filtering,40644.72,16867.23,433.37,400.99
M306967,G121eO306A,positive,Retained By Filtering,40970.42,16869.97,463.87,401.25
M306968,G121eO306A,positive,Retained By Filtering,41266.78,16777.63,491.63,392.56
M306970,G121eO306A,positive,Retained By Filtering,41211.31,16526.85,486.44,368.94
M306971,G121eO306A,positive,Retained By Filtering,41164.85,16203.66,482.08,338.51
M306972,G121eO306A,positive,Retained By Filtering,40883.18,16311.18,455.7,348.63
M306973,G121eO306A,positive,Retained By Filtering,41818.96,16300.76,543.35,347.65
M306974,G121eO306A,positive,Retained By Filtering,42188.41,16282.81,577.96,345.96
M306976,G121eO306A,positive,Retained By Filtering,42484.73,16653.34,605.71,380.85
M306977,G121eO306A,positive,Retained By Filtering,42911.73,17094.85,645.71,422.43
M306978,G121eO306A,positive,Retained By Filtering,43049.14,17256.37,658.58,437.64
M306979,G121eO306A,positive,Retained By Filtering,43194.83,17510.46,672.23,461.56
M306980,G121eO306A,positive,Retained By Filtering,42847.72,17547.75,639.71,465.08
M306981,G121eO306A,positive,Retained By Filtering,42585.1,17624.62,615.12,472.31
M306983,G121eO306A,positive,Retained By Filtering,42309.35,17503.07,589.29,460.87
M306984,G121eO306A,positive,Retained By Filtering,42194.02,17349.11,578.48,446.37
M306985,G121eO306A,positive,Retained By Filtering,42250.98,17115.39,583.82,424.36
M306986,G121eO306A,positive,Retained By Filtering,41826.46,17156.73,544.06,428.25
M306987,G121eO306A,positive,Retained By Filtering,41293.57,17195.67,494.14,431.92
M306988,G121eO306A,positive,Retained By Filtering,40709.19,17265.08,439.4,438.46
M306989,G121eO306A,positive,Retained By Filtering,40721.04,17028.48,440.51,416.18
M306990,G121eO306A,positive,Retained By Filtering,40168.83,18053.07,388.79,512.66
M306991,G121eO306A,positive,Retained By Filtering,39422.74,17898.36,318.91,498.09
M306993,G121eO306A,positive,Retained By Filtering,39323.52,18048.49,309.61,512.23
M306994,G121eO306A,positive,Retained By Filtering,39196.74,18288.06,297.74,534.79
M306995,G121eO306A,positive,Retained By Filtering,39229.31,18582.06,300.79,562.47
M306996,G121eO306A,positive,Retained By Filtering,39303.59,18870.93,307.75,589.67
M307045,G121eO306A,positive,Retained By Filtering,40297.34,16993.09,400.83,412.84
M307047,G121eO306A,positive,Retained By Filtering,39897.39,17061.27,363.36,419.26
M307048,G121eO306A,positive,Retained By Filtering,39524.99,16982.56,328.48,411.85
M307049,G121eO306A,positive,Retained By Filtering,39479.45,17301.7,324.22,441.91
M307050,G121eO306A,positive,Retained By Filtering,39858.19,17538.95,359.69,464.25
M307051,G121eO306A,positive,Retained By Filtering,39612.63,18125.43,336.69,519.47
M307052,G121eO306A,positive,Retained By Filtering,39856.86,18732.71,359.57,576.66
M307053,G121eO306A,positive,Retained By Filtering,40162.67,18964.33,388.21,598.47
M307054,G121eO306A,positive,Retained By Filtering,40217.05,19173.56,393.31,618.17
M307055,G121eO306A,positive,Retained By Filtering,40323.64,19372.81,403.29,636.93
M307057,G121eO306A,positive,Retained By Filtering,40678.39,19438.25,436.52,643.1
M307058,G121eO306A,positive,Retained By Filtering,40410.3,19791.07,411.41,676.32
M307059,G121eO306A,positive,Retained By Filtering,40799.29,19967.58,447.84,692.94
M307060,G121eO306A,positive,Retained By Filtering,40474.38,20586.92,417.41,751.26
M307061,G121eO306A,positive,Retained By Filtering,42881.25,21483.2,642.85,835.66
M307062,G121eO306A,positive,Retained By Filtering,42407.88,21473.63,598.52,834.76
M307063,G121eO306A,positive,Retained By Filtering,42392.32,21233,597.06,812.1
M307064,G121eO306A,positive,Retained By Filtering,42497.29,20918.34,606.89,782.47
M307065,G121eO306A,positive,Retained By Filtering,42180.72,21082.65,577.24,797.94
M307066,G121eO306A,positive,Retained By Filtering,41526.19,21293.66,515.93,817.81
M307068,G121eO306A,positive,Retained By Filtering,41930.2,21307.09,553.77,819.08
M307069,G121eO306A,positive,Retained By Filtering,40044.35,19231.68,377.13,623.64
M307071,G121eO306A,positive,Retained By Filtering,40160.46,18264.33,388.01,532.55
M307072,G121eO306A,positive,Retained By Filtering,39821.14,17681.54,356.22,477.67
M307073,G121eO306A,positive,Retained By Filtering,39772.28,17334.57,351.65,445
M307074,G121eO306A,positive,Retained By Filtering,40032.5,16548.9,376.02,371.02
M307075,G121eO306A,positive,Retained By Filtering,40556.25,16192.54,425.08,337.46
M307076,G121eO306A,positive,Retained By Filtering,40974.91,16027.76,464.29,321.94
M307077,G121eO306A,positive,Retained By Filtering,42381.54,19573.01,596.05,655.79
M307078,G121eO306A,positive,Excluded By Filtering,42661.37,19459.16,622.26,645.07
M307079,G121eO306A,positive,Retained By Filtering,42703.75,19186.13,626.23,619.36
M307081,G121eO306A,positive,Retained By Filtering,42392.49,19257.94,597.07,626.12
M307082,G121eO306A,positive,Retained By Filtering,41868.39,19757.13,547.98,673.12
M307083,G121eO306A,positive,Retained By Filtering,41670.56,19564.53,529.45,654.99
M307084,G121eO306A,positive,Retained By Filtering,41201.43,19235.35,485.51,623.99
M307085,G121eO306A,positive,Retained By Filtering,41441.1,18969.4,507.96,598.95
M307086,G121eO306A,positive,Retained By Filtering,41433.14,18752.41,507.21,578.51
M307088,G121eO306A,positive,Retained By Filtering,41241.14,18339.24,489.23,539.61
M307089,G121eO306A,positive,Retained By Filtering,41229.54,17949.19,488.14,502.88
M307090,G121eO306A,positive,Retained By Filtering,41184.56,17653,483.93,474.99
M307091,G121eO306A,positive,Retained By Filtering,41494.25,17782.05,512.94,487.14
M307092,G121eO306A,positive,Retained By Filtering,40997.02,17425.16,466.36,453.53
M307141,G121eO307A,positive,Retained By Filtering,39246.17,16936.2,364.21,331.66
M307142,G121eO307A,positive,Retained By Filtering,38902.01,16626.63,333.39,303.79
M307143,G121eO307A,positive,Retained By Filtering,38782.71,16864.48,322.7,325.2
M307144,G121eO307A,positive,Excluded By Filtering,38658.73,17110.77,311.6,347.38
M307145,G121eO307A,positive,Retained By Filtering,38748.16,17360.93,319.61,369.91
M307146,G121eO307A,positive,Retained By Filtering,38807.13,17590.13,324.89,390.54
M307148,G121eO307A,positive,Retained By Filtering,38739.15,17754.55,318.8,405.35
M307149,G121eO307A,positive,Retained By Filtering,39109.75,16861.56,351.99,324.94
M307151,G121eO307A,positive,Retained By Filtering,39460.25,16761.96,383.39,315.97
M307152,G121eO307A,positive,Retained By Filtering,39462.39,16601.05,383.58,301.48
M307153,G121eO307A,positive,Retained By Filtering,39439.86,16412.87,381.56,284.54
M307154,G121eO307A,positive,Retained By Filtering,39538.21,16084.52,390.37,254.98
M307155,G121eO307A,positive,Retained By Filtering,39720.89,16367.77,406.73,280.48
M307156,G121eO307A,positive,Retained By Filtering,39689.91,15970.38,403.96,244.7
M307157,G121eO307A,positive,Retained By Filtering,40054.01,16005.17,436.57,247.83
M307158,G121eO307A,positive,Retained By Filtering,40230.13,15991.8,452.34,246.63
M307159,G121eO307A,positive,Retained By Filtering,40346.49,16313.14,462.76,275.56
M307160,G121eO307A,positive,Retained By Filtering,40042.54,16283.44,435.54,272.89
M307161,G121eO307A,positive,Retained By Filtering,40029.11,16508.22,434.34,293.13
M307162,G121eO307A,positive,Retained By Filtering,40097.85,16783.03,440.49,317.87
M307163,G121eO307A,positive,Retained By Filtering,39952.92,16803.82,427.51,319.74
M307165,G121eO307A,positive,Retained By Filtering,40507.66,16187.09,477.2,264.21
M307166,G121eO307A,positive,Retained By Filtering,40600.11,16382.17,485.48,281.78
M307167,G121eO307A,positive,Retained By Filtering,40951.12,16485.4,516.91,291.07
M307168,G121eO307A,positive,Retained By Filtering,40929.57,16306.36,514.98,274.95
M307169,G121eO307A,positive,Retained By Filtering,41109.87,16278.29,531.13,272.42
M307170,G121eO307A,positive,Retained By Filtering,40636.97,15797.51,488.78,229.13
M307172,G121eO307A,positive,Retained By Filtering,41006.92,15824.17,521.91,231.53
M307173,G121eO307A,positive,Retained By Filtering,41284.56,16578.04,546.78,299.41
M307174,G121eO307A,positive,Retained By Filtering,41269.37,16942.3,545.42,332.21
M307175,G121eO307A,positive,Retained By Filtering,41283.56,17098.23,546.69,346.25
M307177,G121eO307A,positive,Retained By Filtering,41333.26,17316.13,551.14,365.87
M307178,G121eO307A,positive,Retained By Filtering,41301.28,17695.5,548.28,400.03
M307179,G121eO307A,positive,Retained By Filtering,41604.71,17590.23,575.45,390.55
M307180,G121eO307A,positive,Retained By Filtering,41805.14,17676.69,593.4,398.34
M307181,G121eO307A,positive,Retained By Filtering,41649.17,17826.85,579.43,411.86
M307182,G121eO307A,positive,Retained By Filtering,41833.95,17882.52,595.98,416.87
M307183,G121eO307A,positive,Retained By Filtering,42022.44,18056.85,612.87,432.57
M307184,G121eO307A,positive,Retained By Filtering,42250.58,18089.13,633.3,435.47
M307185,G121eO307A,positive,Retained By Filtering,42358.16,18382.08,642.93,461.85
M307187,G121eO307A,positive,Retained By Filtering,42011.93,18419.7,611.93,465.24
M307188,G121eO307A,positive,Retained By Filtering,41736.02,18440.86,587.21,467.14
M307237,G121eO307A,positive,Retained By Filtering,41305.05,18107.08,548.61,437.09
M307238,G121eO307A,positive,Retained By Filtering,41216.87,18335.16,540.72,457.63
M307239,G121eO307A,positive,Retained By Filtering,40984.02,18432.68,519.86,466.41
M307240,G121eO307A,positive,Retained By Filtering,40960.59,18169.36,517.76,442.7
M307241,G121eO307A,positive,Retained By Filtering,40969.15,17963.29,518.53,424.14
M307242,G121eO307A,positive,Retained By Filtering,40893.88,17745.13,511.79,404.5
M307243,G121eO307A,positive,Retained By Filtering,40903.09,17426.46,512.61,375.81
M307245,G121eO307A,positive,Retained By Filtering,40527.19,17548.45,478.95,386.79
M307246,G121eO307A,positive,Retained By Filtering,40607.71,17788.2,486.16,408.38
M307248,G121eO307A,positive,Retained By Filtering,40488.91,17992.52,475.52,426.77
M307249,G121eO307A,positive,Retained By Filtering,40444.23,18156.51,471.52,441.54
M307250,G121eO307A,positive,Retained By Filtering,40740.05,18219.41,498.01,447.2
M307251,G121eO307A,positive,Retained By Filtering,40205.09,18225.88,450.1,447.79
M307252,G121eO307A,positive,Retained By Filtering,40343.75,18365.68,462.52,460.37
M307253,G121eO307A,positive,Retained By Filtering,40384.5,18498.83,466.17,472.36
M307254,G121eO307A,positive,Retained By Filtering,40405.09,18687.84,468.01,489.38
M307255,G121eO307A,positive,Retained By Filtering,40337.4,18859.85,461.95,504.87
M307256,G121eO307A,positive,Retained By Filtering,40465.7,18933.93,473.44,511.54
M307257,G121eO307A,positive,Retained By Filtering,40359.51,19075.96,463.93,524.33
M307258,G121eO307A,positive,Retained By Filtering,40438.71,19254.49,471.02,540.4
M307259,G121eO307A,positive,Retained By Filtering,40594.6,19418.81,484.98,555.2
M307261,G121eO307A,positive,Retained By Filtering,40131.38,19198.5,443.5,535.36
M307262,G121eO307A,positive,Retained By Filtering,40248.22,19419.55,453.96,555.27
M307263,G121eO307A,positive,Retained By Filtering,40584.02,19575.29,484.04,569.29
M307264,G121eO307A,positive,Retained By Filtering,40337.4,19635.02,461.95,574.67
M307266,G121eO307A,positive,Retained By Filtering,40595.3,19808.75,485.05,590.31
M307267,G121eO307A,positive,Retained By Filtering,40413.55,19789.94,468.77,588.62
M307268,G121eO307A,positive,Retained By Filtering,40371.58,20038.65,465.01,611.01
M307269,G121eO307A,positive,Retained By Filtering,42758.78,20054.26,678.82,612.42
M307270,G121eO307A,positive,Retained By Filtering,42855.37,20322.94,687.47,636.61
M307272,G121eO307A,positive,Retained By Filtering,42804.55,20525.62,682.92,654.86
M307273,G121eO307A,positive,Retained By Filtering,42726.63,20687.51,675.94,669.44
M307274,G121eO307A,positive,Retained By Filtering,42869.52,20923.49,688.73,690.68
M307275,G121eO307A,positive,Retained By Filtering,42782.5,21181.58,680.94,713.92
M307276,G121eO307A,positive,Retained By Filtering,42566.1,21451.12,661.56,738.19
M307277,G121eO307A,positive,Retained By Filtering,41514.31,20252.72,567.36,630.29
M307278,G121eO307A,positive,Retained By Filtering,41540.29,20499.33,569.68,652.49
M307280,G121eO307A,positive,Retained By Filtering,41897.83,20404.86,601.71,643.99
M307281,G121eO307A,positive,Retained By Filtering,41795.58,20165.09,592.55,622.4
M307282,G121eO307A,positive,Retained By Filtering,41639.11,19853.91,578.53,594.38
M307283,G121eO307A,positive,Retained By Filtering,41280.85,19646.76,546.45,575.73
M307284,G121eO307A,positive,Retained By Filtering,41352.85,19255.28,552.9,540.48
M307477,G121eO307A,positive,Retained By Filtering,38766.26,21501.91,349.8,751.39
M307478,G121eO307A,positive,Retained By Filtering,38628.43,21042.45,337.48,710.6
M307479,G121eO307A,positive,Retained By Filtering,38867.33,20715.73,358.83,681.59
M307481,G121eO307A,positive,Retained By Filtering,38816.1,20527.24,354.25,664.86
M307482,G121eO307A,positive,Retained By Filtering,38781.67,20201.24,351.17,635.92
M307483,G121eO307A,positive,Retained By Filtering,38786.36,19924.41,351.59,611.34
M307484,G121eO307A,positive,Retained By Filtering,39066.23,19742.3,376.6,595.17
M307485,G121eO307A,positive,Retained By Filtering,38773.45,19267.21,350.44,552.99
M307486,G121eO307A,positive,Retained By Filtering,38817.4,19035.44,354.37,532.42
M307487,G121eO307A,positive,Retained By Filtering,38388.45,19006.43,316.05,529.84
M307488,G121eO307A,positive,Retained By Filtering,38439.09,18690.39,320.57,501.78
M307489,G121eO307A,positive,Retained By Filtering,38876.27,18657.75,359.63,498.89
M307490,G121eO307A,positive,Retained By Filtering,38854.62,18373.28,357.69,473.63
M307491,G121eO307A,positive,Retained By Filtering,38821.92,18113.45,354.77,450.56
M307493,G121eO307A,positive,Retained By Filtering,39813.58,21711.38,443.36,769.99
M307494,G121eO307A,positive,Retained By Filtering,39675.81,21290.41,431.05,732.61
M307495,G121eO307A,positive,Retained By Filtering,39697.79,21085.32,433.02,714.41
M307497,G121eO307A,positive,Retained By Filtering,39705.15,20725.6,433.67,682.47
M307498,G121eO307A,positive,Retained By Filtering,39640.68,20458.99,427.91,658.8
M307499,G121eO307A,positive,Retained By Filtering,39682.36,20155.82,431.64,631.89
M307500,G121eO307A,positive,Retained By Filtering,39631.9,19761.74,427.13,596.9
M307501,G121eO307A,positive,Retained By Filtering,39550.29,19445.67,419.84,568.84
M307502,G121eO307A,positive,Retained By Filtering,39296.83,19104.54,397.2,538.55
M307503,G121eO307A,positive,Retained By Filtering,39415.28,18721.66,407.78,504.56
M307504,G121eO307A,positive,Retained By Filtering,39970.32,18812.89,457.36,512.66
M307506,G121eO307A,positive,Retained By Filtering,40014.59,18280.59,461.32,465.4
M307507,G121eO307A,positive,Retained By Filtering,39926.91,17882.31,453.49,430.04
M307508,G121eO307A,positive,Retained By Filtering,40116.9,17588.51,470.46,403.96
M307509,G121eO307A,positive,Retained By Filtering,39278.07,18188.05,395.52,457.19
M307511,G121eO307A,positive,Retained By Filtering,39335.54,17891.36,400.65,430.85
M307512,G121eO307A,positive,Retained By Filtering,39224.32,17696.25,390.72,413.53
M307513,G121eO307A,positive,Retained By Filtering,39284.17,17445.65,396.07,391.28
M307514,G121eO307A,positive,Retained By Filtering,39177.02,17118.1,386.49,362.2
M307515,G121eO307A,positive,Retained By Filtering,39466.28,17098.63,412.33,360.47
M307516,G121eO307A,positive,Retained By Filtering,39995.78,17110.81,459.64,361.55
M307517,G121eO307A,positive,Retained By Filtering,40181.62,21179.77,476.24,722.79
M307518,G121eO307A,positive,Retained By Filtering,40324.78,20743.68,489.03,684.08
M307519,G121eO307A,positive,Retained By Filtering,40179.33,20421.16,476.04,655.44
M307520,G121eO307A,positive,Retained By Filtering,40676.44,20291.05,520.45,643.89
M307521,G121eO307A,positive,Retained By Filtering,41239.75,21132.17,570.77,718.57
M307522,G121eO307A,positive,Retained By Filtering,41979.82,21074.02,636.88,713.4
M307523,G121eO307A,positive,Retained By Filtering,42101.14,21683.19,647.72,767.48
M307333,G121eO308A,positive,Excluded By Filtering,40047.56,20236.56,324.68,628.21
M307335,G121eO308A,positive,Retained By Filtering,40436.73,20542.39,360.28,655.69
M307336,G121eO308A,positive,Retained By Filtering,40182.45,20561.1,337.02,657.37
M307337,G121eO308A,positive,Retained By Filtering,40442.15,20825.85,360.78,681.15
M307338,G121eO308A,positive,Retained By Filtering,40808.12,20772.72,394.26,676.38
M307339,G121eO308A,positive,Retained By Filtering,41028.29,20910.88,414.4,688.8
M307340,G121eO308A,positive,Retained By Filtering,41339.55,20912.86,442.87,688.97
M307342,G121eO308A,positive,Retained By Filtering,41804.69,20802.33,485.42,679.04
M307343,G121eO308A,positive,Retained By Filtering,41869.14,21077.39,491.32,703.76
M307344,G121eO308A,positive,Retained By Filtering,41690.68,21269.92,474.99,721.06
M307345,G121eO308A,positive,Retained By Filtering,41764.5,21514.62,481.75,743.04
M307346,G121eO308A,positive,Retained By Filtering,41695.94,21724.7,475.47,761.92
M307347,G121eO308A,positive,Retained By Filtering,42106.09,21628.47,512.99,753.27
M307348,G121eO308A,positive,Retained By Filtering,42551.51,21399.77,553.74,732.72
M307349,G121eO308A,positive,Retained By Filtering,42888.29,21435.68,584.55,735.95
M307350,G121eO308A,positive,Retained By Filtering,43176.06,21600.85,610.88,750.79
M307352,G121eO308A,positive,Retained By Filtering,43140.57,21875.6,607.63,775.48
M307353,G121eO308A,positive,Retained By Filtering,42977.38,22088.43,592.7,794.6
M307354,G121eO308A,positive,Retained By Filtering,43281.41,22187.74,620.51,803.53
M307355,G121eO308A,positive,Retained By Filtering,43039.94,22334.1,598.42,816.68
M307356,G121eO308A,positive,Retained By Filtering,42743.12,22326.57,548.82,815.78
M307357,G121eO308A,positive,Retained By Filtering,43692.32,22031.46,658.1,789.48
M307358,G121eO308A,positive,Retained By Filtering,43783.62,22272.12,666.46,811.11
M307360,G121eO308A,positive,Retained By Filtering,43656.14,22581.06,654.79,838.87
M307361,G121eO308A,positive,Retained By Filtering,44012.26,22522.53,687.37,833.61
M307362,G121eO308A,positive,Retained By Filtering,43235.82,22520.32,616.34,833.41
M307363,G121eO308A,positive,Retained By Filtering,43435.91,22759.02,634.65,854.86
M307364,G121eO308A,positive,Retained By Filtering,42945.6,22722.03,589.79,851.53
M307365,G121eO308A,positive,Retained By Filtering,42890.6,18292.82,584.76,453.55
M307366,G121eO308A,positive,Retained By Filtering,42902.79,17990.13,585.88,426.36
M307367,G121eO308A,positive,Retained By Filtering,43184.36,17925.38,611.64,420.54
M307369,G121eO308A,positive,Retained By Filtering,43128.53,17692.92,606.53,399.65
M307370,G121eO308A,positive,Retained By Filtering,42870.34,17569.96,582.91,388.6
M307371,G121eO308A,positive,Retained By Filtering,42556.84,17326.75,554.23,366.75
M307372,G121eO308A,positive,Retained By Filtering,42326.41,17428.2,533.15,375.86
M307373,G121eO308A,positive,Retained By Filtering,40373.89,17531.77,354.53,385.17
M307375,G121eO308A,positive,Retained By Filtering,40389.75,17834.18,355.98,412.34
M307376,G121eO308A,positive,Retained By Filtering,40521.48,18151.9,368.03,440.89
M307377,G121eO308A,positive,Retained By Filtering,40167.98,18364.33,335.7,459.98
M307378,G121eO308A,positive,Retained By Filtering,40116.59,18775.93,330.99,496.96
M307379,G121eO308A,positive,Retained By Filtering,40554.1,18766.13,371.02,496.08
M307380,G121eO308A,positive,Retained By Filtering,40878.21,19052.31,400.67,521.8
M307429,G121eO308A,positive,Excluded By Filtering,39811.93,19156.61,309.58,534.22
M307430,G121eO308A,positive,Retained By Filtering,40296.14,19102.27,353.56,529.32
M307431,G121eO308A,positive,Retained By Filtering,40351.25,19439.42,358.57,559.75
M307433,G121eO308A,positive,Retained By Filtering,40413.93,19652.99,364.26,579.02
M307434,G121eO308A,positive,Retained By Filtering,40725.43,19622.86,392.55,576.3
M307435,G121eO308A,positive,Retained By Filtering,40881.65,19839.81,406.74,595.88
M307436,G121eO308A,positive,Retained By Filtering,41111.3,20182.4,427.59,626.8
M307437,G121eO308A,positive,Retained By Filtering,40720.69,18462.22,392.12,471.55
M307438,G121eO308A,positive,Retained By Filtering,40995.44,18687.11,417.07,491.85
M307440,G121eO308A,positive,Retained By Filtering,41378.72,18730.14,451.88,495.73
M307441,G121eO308A,positive,Retained By Filtering,41332.72,18963.96,447.7,516.83
M307442,G121eO308A,positive,Retained By Filtering,41424.4,19170.63,456.03,535.49
M307443,G121eO308A,positive,Retained By Filtering,41325.69,19343.86,447.07,551.12
M307444,G121eO308A,positive,Retained By Filtering,41109.91,19389.79,427.47,555.27
M307445,G121eO308A,positive,Retained By Filtering,42506.76,18618.86,554.33,485.69
M307446,G121eO308A,positive,Retained By Filtering,42563.55,18882.18,559.49,509.45
M307447,G121eO308A,positive,Retained By Filtering,42574.77,19123.32,560.51,531.22
M307448,G121eO308A,positive,Retained By Filtering,42555.1,19434.36,558.72,559.29
M307449,G121eO308A,positive,Retained By Filtering,42074.43,19325.27,515.07,549.44
M307450,G121eO308A,positive,Retained By Filtering,41731.48,19453.32,483.92,561
M307451,G121eO308A,positive,Retained By Filtering,41947.11,19696.23,503.5,582.92
M307453,G121eO308A,positive,Retained By Filtering,42547.73,19673.97,558.05,580.92
M307454,G121eO308A,positive,Retained By Filtering,42973.71,19368.79,596.74,553.37
M307455,G121eO308A,positive,Retained By Filtering,43158.61,19079.46,613.53,527.26
M307457,G121eO308A,positive,Retained By Filtering,43479.34,18997.92,642.66,519.9
M307458,G121eO308A,positive,Retained By Filtering,43868.8,19164.24,678.03,534.91
M307459,G121eO308A,positive,Retained By Filtering,43869.62,18656.11,678.11,489.05
M307460,G121eO308A,positive,Retained By Filtering,43678.71,18535.26,660.77,478.14
M307461,G121eO308A,positive,Retained By Filtering,42955.11,18768.73,595.05,499.21
M307463,G121eO308A,positive,Retained By Filtering,42940.02,18513.56,593.68,476.18
M307464,G121eO308A,positive,Retained By Filtering,42054.76,18375.2,513.28,463.69
M307465,G121eO308A,positive,Retained By Filtering,42118.15,18087.27,519.04,437.71
M307466,G121eO308A,positive,Retained By Filtering,41975.21,17829.71,506.05,414.46
M307467,G121eO308A,positive,Retained By Filtering,41869.72,17563.72,496.47,390.45
M307468,G121eO308A,positive,Retained By Filtering,41561.22,17563.06,468.46,390.39
M307469,G121eO308A,positive,Retained By Filtering,41290.85,19878.51,443.9,599.38
M307470,G121eO308A,positive,Retained By Filtering,41897.56,19923.29,499,603.42
M307471,G121eO308A,positive,Retained By Filtering,42568.97,20043.44,559.98,614.26
M307472,G121eO308A,positive,Retained By Filtering,42907.27,20248.54,590.7,632.77
M307473,G121eO308A,positive,Retained By Filtering,42847.92,20524.18,585.31,657.65
M307475,G121eO308A,positive,Retained By Filtering,42493.49,20536.69,553.13,658.78
M307476,G121eO308A,positive,Retained By Filtering,42711.82,20941.5,572.95,695.32
